profile,actor,DPS,increase,
Composite,HA_DE_MD_3,6431,10.60%,
Composite,HA_DE_RS_3,6419,10.39%,
Composite,HA_MD_RS_3,6402,10.09%,
Composite,HA_DE_FF_3,6295,8.26%,
Composite,HA_DE_2,6276,7.92%,
Composite,DE_MD_RS_3,6268,7.80%,
Composite,HA_MD_2,6259,7.64%,
Composite,HA_RS_FF_3,6253,7.53%,
Composite,HA_RS_2,6240,7.30%,
Composite,DE_MD_FF_3,6148,5.73%,
Composite,DE_RS_FF_3,6135,5.51%,
Composite,DE_MD_2,6133,5.47%,
Composite,MD_RS_FF_3,6125,5.33%,
Composite,DE_RS_2,6124,5.32%,
Composite,HA_FF_2,6114,5.15%,
Composite,MD_RS_2,6114,5.14%,
Composite,DE_FF_2,6001,3.20%,
Composite,MD_FF_2,5991,3.03%,
Composite,RS_FF_2,5970,2.67%,
Composite,Base,5815,0.00%,
