profile,actor,DPS,increase,
Composite,HA_DE_MD_3,8124,9.64%,
Composite,HA_DE_RS_3,8040,8.51%,
Composite,HA_MD_RS_3,8027,8.33%,
Composite,HA_DE_SP_3,8023,8.28%,
Composite,HA_DE_2,7933,7.06%,
Composite,HA_MD_2,7923,6.92%,
Composite,HA_RS_SP_3,7919,6.87%,
Composite,DE_MD_RS_3,7887,6.44%,
Composite,DE_MD_SP_3,7872,6.24%,
Composite,HA_RS_2,7829,5.66%,
Composite,HA_SP_2,7812,5.43%,
Composite,DE_RS_SP_3,7796,5.21%,
Composite,MD_RS_SP_3,7795,5.20%,
Composite,DE_MD_2,7783,5.03%,
Composite,DE_RS_2,7709,4.04%,
Composite,MD_RS_2,7703,3.96%,
Composite,MD_SP_2,7694,3.83%,
Composite,DE_SP_2,7689,3.77%,
Composite,RS_SP_2,7604,2.62%,
Composite,Base,7410,0.00%,
