profile,actor,DPS,increase,
Composite,HA_DE_RS_3,13892,12.86%,
Composite,HA_MD_RS_3,13853,12.55%,
Composite,HA_DE_MD_3,13675,11.10%,
Composite,DE_MD_RS_3,13544,10.04%,
Composite,HA_RS_FF_3,13511,9.77%,
Composite,HA_RS_2,13500,9.68%,
Composite,HA_DE_FF_3,13333,8.33%,
Composite,HA_DE_2,13333,8.32%,
Composite,HA_MD_2,13302,8.07%,
Composite,DE_RS_FF_3,13228,7.47%,
Composite,DE_RS_2,13225,7.45%,
Composite,MD_RS_FF_3,13215,7.36%,
Composite,MD_RS_2,13210,7.33%,
Composite,DE_MD_FF_3,13015,5.74%,
Composite,DE_MD_2,13012,5.71%,
Composite,HA_FF_2,12931,5.06%,
Composite,RS_FF_2,12875,4.60%,
Composite,DE_FF_2,12680,3.02%,
Composite,MD_FF_2,12666,2.90%,
Composite,Base,12309,0.00%,
