profile,actor,DPS,increase,
Single,HA_DE_RS_3,8438,11.87%,
Single,HA_MD_RS_3,8427,11.72%,
Single,HA_RS_AAF_3,8401,11.38%,
Single,HA_DE_MD_3,8273,9.68%,
Single,DE_MD_RS_3,8270,9.64%,
Single,DE_RS_AAF_3,8270,9.64%,
Single,MD_RS_AAF_3,8267,9.61%,
Single,HA_DE_AAF_3,8252,9.41%,
Single,HA_MD_AAF_3,8237,9.21%,
Single,HA_RS_FF_3,8228,9.09%,
Single,HA_RS_2,8227,9.07%,
Single,DE_RS_2,8097,7.35%,
Single,DE_RS_FF_3,8095,7.32%,
Single,MD_RS_2,8093,7.30%,
Single,DE_MD_AAF_3,8093,7.30%,
Single,MD_RS_FF_3,8089,7.25%,
Single,HA_DE_FF_3,8086,7.20%,
Single,HA_DE_2,8083,7.17%,
Single,RS_AAF_2,8073,7.03%,
Single,RS_FF_AAF_3,8071,7.01%,
Single,HA_MD_2,8068,6.96%,
Single,HA_AAF_2,8030,6.46%,
Single,HA_FF_AAF_3,8024,6.38%,
Single,DE_MD_2,7932,5.17%,
Single,DE_MD_FF_3,7928,5.10%,
Single,DE_FF_AAF_3,7908,4.84%,
Single,DE_AAF_2,7907,4.83%,
Single,MD_FF_AAF_3,7906,4.82%,
Single,MD_AAF_2,7905,4.80%,
Single,RS_FF_2,7902,4.76%,
Single,HA_FF_2,7861,4.22%,
Single,DE_FF_2,7745,2.68%,
Single,MD_FF_2,7744,2.67%,
Single,FF_AAF_2,7704,2.14%,
Single,Base,7543,0.00%,
