profile,actor,DPS,increase,
Single,HA_DE_CA_3,10376,10.89%,
Single,HA_DE_MD_3,10286,9.93%,
Single,DE_MD_CA_3,10251,9.56%,
Single,HA_RS_CA_3,10153,8.51%,
Single,HA_DE_RS_3,10124,8.20%,
Single,DE_RS_CA_3,10096,7.90%,
Single,HA_MD_RS_3,10072,7.65%,
Single,MD_RS_CA_3,10063,7.55%,
Single,HA_CA_2,10061,7.52%,
Single,HA_DE_2,10035,7.24%,
Single,DE_CA_2,10002,6.89%,
Single,DE_MD_RS_3,9999,6.86%,
Single,HA_MD_2,9977,6.63%,
Single,MD_CA_2,9971,6.56%,
Single,DE_MD_2,9904,5.85%,
Single,RS_CA_2,9803,4.77%,
Single,HA_RS_2,9802,4.76%,
Single,DE_RS_2,9747,4.17%,
Single,MD_RS_2,9714,3.82%,
Single,Base,9357,0.00%,
