profile,actor,DPS,increase,
Single,HA_DE_RS_3,13975,12.97%,
Single,HA_MD_RS_3,13932,12.63%,
Single,HA_DE_MD_3,13769,11.31%,
Single,DE_MD_RS_3,13686,10.63%,
Single,HA_RS_2,13557,9.60%,
Single,HA_RS_FF_3,13555,9.58%,
Single,HA_DE_2,13389,8.23%,
Single,HA_DE_FF_3,13388,8.23%,
Single,HA_MD_2,13359,7.99%,
Single,DE_RS_2,13350,7.92%,
Single,DE_RS_FF_3,13346,7.89%,
Single,MD_RS_2,13329,7.75%,
Single,MD_RS_FF_3,13326,7.73%,
Single,DE_MD_2,13131,6.15%,
Single,DE_MD_FF_3,13127,6.12%,
Single,RS_FF_2,12960,4.77%,
Single,HA_FF_2,12959,4.76%,
Single,DE_FF_2,12766,3.20%,
Single,MD_FF_2,12760,3.15%,
Single,Base,12370,0.00%,
