profile,actor,DPS,increase,
Composite,Courageous_Ascension_278,9566,3.84%,
Composite,Haunting_Apparitions_278,9550,3.66%,
Composite,Courageous_Ascension_265,9547,3.63%,
Composite,Courageous_Ascension_252,9536,3.51%,
Composite,Haunting_Apparitions_265,9531,3.45%,
Composite,Haunting_Apparitions_252,9516,3.29%,
Composite,Courageous_Ascension_239,9514,3.27%,
Composite,Haunting_Apparitions_239,9502,3.15%,
Composite,Courageous_Ascension_226,9501,3.14%,
Composite,Courageous_Ascension_213,9488,2.99%,
Composite,Haunting_Apparitions_226,9481,2.92%,
Composite,Courageous_Ascension_200,9473,2.82%,
Composite,Haunting_Apparitions_213,9468,2.78%,
Composite,Mind_Devourer_278,9466,2.75%,
Composite,Mind_Devourer_265,9459,2.68%,
Composite,Courageous_Ascension_184,9454,2.63%,
Composite,Mind_Devourer_252,9448,2.56%,
Composite,Haunting_Apparitions_200,9447,2.55%,
Composite,Courageous_Ascension_171,9441,2.48%,
Composite,Mind_Devourer_239,9440,2.47%,
Composite,Mind_Devourer_226,9437,2.44%,
Composite,Haunting_Apparitions_184,9429,2.35%,
Composite,Mind_Devourer_213,9426,2.32%,
Composite,Courageous_Ascension_158,9421,2.27%,
Composite,Mind_Devourer_200,9416,2.21%,
Composite,Haunting_Apparitions_171,9414,2.19%,
Composite,Courageous_Ascension_145,9411,2.16%,
Composite,Mind_Devourer_184,9410,2.14%,
Composite,Mind_Devourer_171,9408,2.12%,
Composite,Dissonant_Echoes_278,9404,2.08%,
Composite,Dissonant_Echoes_265,9399,2.02%,
Composite,Haunting_Apparitions_158,9398,2.01%,
Composite,Mind_Devourer_158,9394,1.97%,
Composite,Dissonant_Echoes_252,9392,1.95%,
Composite,Mind_Devourer_145,9391,1.94%,
Composite,Dissonant_Echoes_239,9390,1.93%,
Composite,Haunting_Apparitions_145,9383,1.85%,
Composite,Dissonant_Echoes_226,9381,1.83%,
Composite,Dissonant_Echoes_213,9377,1.78%,
Composite,Dissonant_Echoes_200,9367,1.67%,
Composite,Dissonant_Echoes_184,9361,1.61%,
Composite,Dissonant_Echoes_171,9355,1.54%,
Composite,Dissonant_Echoes_158,9345,1.44%,
Composite,Dissonant_Echoes_145,9339,1.37%,
Composite,Rabid_Shadows_278,9318,1.14%,
Composite,Rabid_Shadows_239,9317,1.13%,
Composite,Rabid_Shadows_265,9315,1.12%,
Composite,Rabid_Shadows_252,9314,1.10%,
Composite,Rabid_Shadows_226,9303,0.98%,
Composite,Rabid_Shadows_213,9301,0.96%,
Composite,Rabid_Shadows_184,9288,0.81%,
Composite,Rabid_Shadows_200,9285,0.79%,
Composite,Rabid_Shadows_171,9269,0.61%,
Composite,Rabid_Shadows_158,9267,0.59%,
Composite,Rabid_Shadows_145,9241,0.31%,
Composite,Base,9213,0.00%,
