profile,actor,DPS,increase,
Composite,Rabid_Shadows_278,8244,4.81%,
Composite,Rabid_Shadows_265,8232,4.66%,
Composite,Rabid_Shadows_252,8212,4.40%,
Composite,Rabid_Shadows_239,8193,4.17%,
Composite,Haunting_Apparitions_278,8190,4.12%,
Composite,Haunting_Apparitions_265,8176,3.95%,
Composite,Rabid_Shadows_226,8169,3.86%,
Composite,Rabid_Shadows_213,8165,3.80%,
Composite,Haunting_Apparitions_252,8155,3.68%,
Composite,Rabid_Shadows_200,8145,3.55%,
Composite,Haunting_Apparitions_239,8142,3.51%,
Composite,Haunting_Apparitions_226,8127,3.33%,
Composite,Rabid_Shadows_184,8120,3.24%,
Composite,Rabid_Shadows_171,8115,3.17%,
Composite,Haunting_Apparitions_213,8108,3.09%,
Composite,Rabid_Shadows_158,8101,2.99%,
Composite,Haunting_Apparitions_200,8093,2.89%,
Composite,Haunting_Apparitions_184,8076,2.67%,
Composite,Dissonant_Echoes_278,8067,2.56%,
Composite,Haunting_Apparitions_171,8060,2.47%,
Composite,Mind_Devourer_278,8059,2.46%,
Composite,Dissonant_Echoes_265,8058,2.45%,
Composite,Mind_Devourer_265,8053,2.38%,
Composite,Dissonant_Echoes_252,8052,2.37%,
Composite,Haunting_Apparitions_158,8045,2.28%,
Composite,Dissonant_Echoes_239,8045,2.28%,
Composite,Mind_Devourer_252,8044,2.26%,
Composite,Dissonant_Echoes_226,8041,2.23%,
Composite,Mind_Devourer_239,8039,2.21%,
Composite,Adaptive_Armor_Fragment_278,8037,2.19%,
Composite,Mind_Devourer_226,8034,2.14%,
Composite,Dissonant_Echoes_213,8031,2.11%,
Composite,Haunting_Apparitions_145,8031,2.10%,
Composite,Adaptive_Armor_Fragment_265,8030,2.09%,
Composite,Mind_Devourer_213,8029,2.08%,
Composite,Dissonant_Echoes_200,8026,2.04%,
Composite,Mind_Devourer_200,8025,2.03%,
Composite,Adaptive_Armor_Fragment_252,8021,1.97%,
Composite,Mind_Devourer_184,8018,1.94%,
Composite,Dissonant_Echoes_184,8018,1.94%,
Composite,Mind_Devourer_171,8013,1.88%,
Composite,Dissonant_Echoes_171,8013,1.88%,
Composite,Adaptive_Armor_Fragment_239,8013,1.87%,
Composite,Dissonant_Echoes_158,8006,1.79%,
Composite,Mind_Devourer_158,8005,1.78%,
Composite,Adaptive_Armor_Fragment_226,8004,1.76%,
Composite,Mind_Devourer_145,8000,1.71%,
Composite,Dissonant_Echoes_145,8000,1.71%,
Composite,Rabid_Shadows_145,7997,1.67%,
Composite,Adaptive_Armor_Fragment_213,7994,1.63%,
Composite,Adaptive_Armor_Fragment_200,7985,1.52%,
Composite,Adaptive_Armor_Fragment_184,7979,1.45%,
Composite,Adaptive_Armor_Fragment_171,7967,1.29%,
Composite,Shattered_Perceptions_278,7967,1.29%,
Composite,Shattered_Perceptions_265,7961,1.21%,
Composite,Adaptive_Armor_Fragment_158,7956,1.15%,
Composite,Shattered_Perceptions_252,7955,1.14%,
Composite,Adaptive_Armor_Fragment_145,7952,1.10%,
Composite,Shattered_Perceptions_239,7950,1.08%,
Composite,Shattered_Perceptions_226,7949,1.06%,
Composite,Shattered_Perceptions_213,7941,0.96%,
Composite,Shattered_Perceptions_200,7937,0.91%,
Composite,Shattered_Perceptions_184,7934,0.87%,
Composite,Shattered_Perceptions_171,7927,0.79%,
Composite,Shattered_Perceptions_158,7920,0.69%,
Composite,Shattered_Perceptions_145,7918,0.66%,
Composite,Base,7866,0.00%,
