profile,actor,DPS,increase,
Composite,Haunting_Apparitions_7,5666,3.72%,
Composite,Haunting_Apparitions_6,5653,3.47%,
Composite,Dissonant_Echoes_7,5651,3.43%,
Composite,Dissonant_Echoes_6,5645,3.32%,
Composite,Dissonant_Echoes_5,5638,3.19%,
Composite,Dissonant_Echoes_4,5634,3.12%,
Composite,Haunting_Apparitions_4,5628,3.02%,
Composite,Dissonant_Echoes_3,5627,3.00%,
Composite,Dissonant_Echoes_2,5623,2.92%,
Composite,Haunting_Apparitions_3,5616,2.80%,
Composite,Dissonant_Echoes_1,5616,2.80%,
Composite,Mind_Devourer_7,5614,2.76%,
Composite,Mind_Devourer_6,5610,2.68%,
Composite,Haunting_Apparitions_5,5607,2.63%,
Composite,Mind_Devourer_5,5605,2.59%,
Composite,Haunting_Apparitions_2,5602,2.54%,
Composite,Mind_Devourer_4,5601,2.52%,
Composite,Mind_Devourer_3,5596,2.43%,
Composite,Mind_Devourer_2,5592,2.36%,
Composite,Haunting_Apparitions_1,5590,2.32%,
Composite,Mind_Devourer_1,5589,2.29%,
Composite,Courageous_Ascension_7,5578,2.10%,
Composite,Courageous_Ascension_6,5571,1.98%,
Composite,Courageous_Ascension_5,5565,1.86%,
Composite,Courageous_Ascension_4,5558,1.74%,
Composite,Courageous_Ascension_3,5551,1.61%,
Composite,Courageous_Ascension_2,5545,1.50%,
Composite,Courageous_Ascension_1,5539,1.38%,
Composite,Rabid_Shadows_6,5519,1.02%,
Composite,Rabid_Shadows_7,5515,0.94%,
Composite,Rabid_Shadows_4,5508,0.82%,
Composite,Rabid_Shadows_3,5507,0.81%,
Composite,Rabid_Shadows_5,5507,0.80%,
Composite,Rabid_Shadows_2,5499,0.66%,
Composite,Rabid_Shadows_1,5495,0.58%,
Composite,Base,5463,0.00%,
