profile,actor,DPS,increase,
Composite,Haunting_Apparitions_304,12790,5.15%,
Composite,Haunting_Apparitions_291,12764,4.93%,
Composite,Haunting_Apparitions_278,12733,4.67%,
Composite,Rabid_Shadows_304,12726,4.62%,
Composite,Haunting_Apparitions_265,12707,4.46%,
Composite,Rabid_Shadows_291,12705,4.45%,
Composite,Rabid_Shadows_278,12681,4.25%,
Composite,Haunting_Apparitions_252,12677,4.21%,
Composite,Rabid_Shadows_265,12656,4.04%,
Composite,Haunting_Apparitions_239,12649,3.99%,
Composite,Rabid_Shadows_252,12629,3.83%,
Composite,Haunting_Apparitions_226,12619,3.74%,
Composite,Rabid_Shadows_239,12608,3.65%,
Composite,Haunting_Apparitions_213,12591,3.51%,
Composite,Rabid_Shadows_226,12578,3.40%,
Composite,Haunting_Apparitions_200,12558,3.24%,
Composite,Rabid_Shadows_213,12555,3.21%,
Composite,Haunting_Apparitions_184,12535,3.05%,
Composite,Rabid_Shadows_200,12527,2.98%,
Composite,Dissonant_Echoes_304,12524,2.96%,
Composite,Dissonant_Echoes_291,12515,2.88%,
Composite,Mind_Devourer_304,12510,2.84%,
Composite,Dissonant_Echoes_278,12507,2.82%,
Composite,Mind_Devourer_291,12506,2.81%,
Composite,Haunting_Apparitions_171,12505,2.80%,
Composite,Rabid_Shadows_184,12504,2.79%,
Composite,Mind_Devourer_278,12495,2.72%,
Composite,Dissonant_Echoes_265,12494,2.71%,
Composite,Dissonant_Echoes_252,12491,2.69%,
Composite,Rabid_Shadows_171,12482,2.61%,
Composite,Mind_Devourer_265,12480,2.59%,
Composite,Dissonant_Echoes_239,12479,2.59%,
Composite,Haunting_Apparitions_158,12478,2.58%,
Composite,Mind_Devourer_252,12477,2.57%,
Composite,Dissonant_Echoes_226,12468,2.50%,
Composite,Mind_Devourer_239,12464,2.47%,
Composite,Dissonant_Echoes_213,12458,2.41%,
Composite,Mind_Devourer_226,12457,2.41%,
Composite,Rabid_Shadows_158,12456,2.40%,
Composite,Dissonant_Echoes_200,12450,2.35%,
Composite,Haunting_Apparitions_145,12449,2.34%,
Composite,Mind_Devourer_213,12446,2.32%,
Composite,Dissonant_Echoes_184,12439,2.26%,
Composite,Mind_Devourer_200,12439,2.26%,
Composite,Dissonant_Echoes_171,12430,2.18%,
Composite,Mind_Devourer_184,12425,2.15%,
Composite,Dissonant_Echoes_158,12423,2.13%,
Composite,Mind_Devourer_171,12417,2.08%,
Composite,Mind_Devourer_158,12409,2.01%,
Composite,Dissonant_Echoes_145,12408,2.01%,
Composite,Mind_Devourer_145,12400,1.94%,
Composite,Rabid_Shadows_145,12341,1.45%,
Composite,Fae_Fermata_304,12172,0.07%,
Composite,Fae_Fermata_252,12168,0.03%,
Composite,Fae_Fermata_171,12168,0.03%,
Composite,Fae_Fermata_291,12168,0.03%,
Composite,Fae_Fermata_200,12167,0.02%,
Composite,Fae_Fermata_184,12167,0.02%,
Composite,Fae_Fermata_278,12166,0.01%,
Composite,Fae_Fermata_145,12165,0.00%,
Composite,Fae_Fermata_213,12165,0.00%,
Composite,Fae_Fermata_158,12165,0.00%,
Composite,Fae_Fermata_239,12165,0.00%,
Composite,Base,12164,0.00%,
Composite,Fae_Fermata_226,12163,-0.01%,
Composite,Fae_Fermata_265,12163,-0.01%,
