profile,actor,DPS,increase,
Dungeons,Rabid_Shadows_226,6284,2.83%,
Dungeons,Rabid_Shadows_213,6274,2.67%,
Dungeons,Rabid_Shadows_200,6272,2.63%,
Dungeons,Rabid_Shadows_158,6247,2.23%,
Dungeons,Courageous_Ascension_226,6245,2.19%,
Dungeons,Rabid_Shadows_171,6243,2.16%,
Dungeons,Rabid_Shadows_184,6241,2.13%,
Dungeons,Courageous_Ascension_213,6239,2.09%,
Dungeons,Courageous_Ascension_200,6232,1.98%,
Dungeons,Courageous_Ascension_184,6224,1.85%,
Dungeons,Courageous_Ascension_171,6221,1.80%,
Dungeons,Dissonant_Echoes_226,6218,1.75%,
Dungeons,Courageous_Ascension_158,6213,1.67%,
Dungeons,Dissonant_Echoes_213,6213,1.67%,
Dungeons,Mind_Devourer_226,6212,1.65%,
Dungeons,Courageous_Ascension_145,6207,1.57%,
Dungeons,Mind_Devourer_184,6207,1.57%,
Dungeons,Dissonant_Echoes_184,6205,1.54%,
Dungeons,Mind_Devourer_200,6204,1.52%,
Dungeons,Mind_Devourer_213,6204,1.52%,
Dungeons,Dissonant_Echoes_158,6203,1.51%,
Dungeons,Dissonant_Echoes_171,6203,1.51%,
Dungeons,Dissonant_Echoes_200,6202,1.49%,
Dungeons,Haunting_Apparitions_226,6202,1.49%,
Dungeons,Dissonant_Echoes_145,6197,1.41%,
Dungeons,Mind_Devourer_171,6197,1.41%,
Dungeons,Mind_Devourer_158,6195,1.37%,
Dungeons,Mind_Devourer_145,6194,1.36%,
Dungeons,Haunting_Apparitions_213,6193,1.34%,
Dungeons,Haunting_Apparitions_184,6183,1.18%,
Dungeons,Haunting_Apparitions_200,6182,1.16%,
Dungeons,Haunting_Apparitions_171,6177,1.08%,
Dungeons,Rabid_Shadows_145,6172,1.00%,
Dungeons,Haunting_Apparitions_158,6166,0.90%,
Dungeons,Haunting_Apparitions_145,6164,0.87%,
Dungeons,Base,6111,0.00%,
