profile,actor,DPS,increase,
Dungeons,Rabid_Shadows_7,5603,2.83%,
Dungeons,Rabid_Shadows_6,5589,2.57%,
Dungeons,Dissonant_Echoes_7,5579,2.39%,
Dungeons,Rabid_Shadows_5,5575,2.31%,
Dungeons,Rabid_Shadows_4,5568,2.18%,
Dungeons,Dissonant_Echoes_6,5567,2.17%,
Dungeons,Mind_Devourer_7,5563,2.09%,
Dungeons,Rabid_Shadows_2,5563,2.09%,
Dungeons,Dissonant_Echoes_5,5562,2.07%,
Dungeons,Mind_Devourer_6,5560,2.04%,
Dungeons,Rabid_Shadows_3,5559,2.02%,
Dungeons,Dissonant_Echoes_3,5558,2.00%,
Dungeons,Dissonant_Echoes_1,5557,1.98%,
Dungeons,Dissonant_Echoes_4,5557,1.98%,
Dungeons,Mind_Devourer_5,5557,1.98%,
Dungeons,Mind_Devourer_4,5555,1.95%,
Dungeons,Dissonant_Echoes_2,5549,1.84%,
Dungeons,Mind_Devourer_3,5546,1.78%,
Dungeons,Haunting_Apparitions_7,5543,1.73%,
Dungeons,Mind_Devourer_2,5543,1.73%,
Dungeons,Mind_Devourer_1,5542,1.71%,
Dungeons,Haunting_Apparitions_6,5535,1.58%,
Dungeons,Rabid_Shadows_1,5525,1.39%,
Dungeons,Haunting_Apparitions_4,5524,1.38%,
Dungeons,Haunting_Apparitions_3,5516,1.23%,
Dungeons,Haunting_Apparitions_1,5508,1.08%,
Dungeons,Haunting_Apparitions_2,5505,1.03%,
Dungeons,Haunting_Apparitions_5,5503,0.99%,
Dungeons,Shattered_Perceptions_7,5494,0.83%,
Dungeons,Shattered_Perceptions_6,5490,0.75%,
Dungeons,Shattered_Perceptions_4,5488,0.72%,
Dungeons,Shattered_Perceptions_5,5486,0.68%,
Dungeons,Shattered_Perceptions_3,5484,0.64%,
Dungeons,Shattered_Perceptions_2,5478,0.53%,
Dungeons,Shattered_Perceptions_1,5474,0.46%,
Dungeons,Base,5449,0.00%,
