profile,actor,DPS,increase,
Single,Mind_Devourer_15,5037,4.97%,
Single,Mind_Devourer_14,5032,4.87%,
Single,Mind_Devourer_13,5023,4.68%,
Single,Mind_Devourer_12,5017,4.56%,
Single,Mind_Devourer_11,5011,4.44%,
Single,Mind_Devourer_10,5003,4.26%,
Single,Mind_Devourer_9,4996,4.13%,
Single,Mind_Devourer_8,4991,4.03%,
Single,Mind_Devourer_7,4985,3.89%,
Single,Mind_Devourer_6,4977,3.74%,
Single,Mind_Devourer_5,4971,3.60%,
Single,Mind_Devourer_4,4965,3.48%,
Single,Mind_Devourer_3,4959,3.36%,
Single,Mind_Devourer_2,4952,3.21%,
Single,Mind_Devourer_1,4939,2.94%,
Single,Rabid_Shadows_15,4858,1.25%,
Single,Dissonant_Echoes_15,4858,1.24%,
Single,Haunting_Apparitions_15,4855,1.19%,
Single,Rabid_Shadows_14,4854,1.17%,
Single,Dissonant_Echoes_14,4854,1.17%,
Single,Rabid_Shadows_13,4853,1.13%,
Single,Haunting_Apparitions_14,4852,1.12%,
Single,Dissonant_Echoes_13,4850,1.08%,
Single,Rabid_Shadows_12,4850,1.08%,
Single,Shattered_Perceptions_15,4849,1.05%,
Single,Shattered_Perceptions_14,4848,1.05%,
Single,Dissonant_Echoes_12,4848,1.04%,
Single,Rabid_Shadows_11,4847,1.02%,
Single,Dissonant_Echoes_11,4847,1.01%,
Single,Haunting_Apparitions_13,4846,1.01%,
Single,Haunting_Apparitions_12,4846,0.99%,
Single,Shattered_Perceptions_13,4845,0.98%,
Single,Rabid_Shadows_10,4845,0.97%,
Single,Shattered_Perceptions_12,4844,0.96%,
Single,Rabid_Shadows_9,4843,0.93%,
Single,Shattered_Perceptions_11,4843,0.93%,
Single,Haunting_Apparitions_11,4843,0.93%,
Single,Dissonant_Echoes_10,4843,0.93%,
Single,Dissonant_Echoes_9,4841,0.89%,
Single,Shattered_Perceptions_10,4841,0.89%,
Single,Rabid_Shadows_8,4840,0.87%,
Single,Dissonant_Echoes_8,4840,0.86%,
Single,Shattered_Perceptions_9,4839,0.85%,
Single,Rabid_Shadows_7,4839,0.85%,
Single,Haunting_Apparitions_10,4838,0.83%,
Single,Shattered_Perceptions_8,4838,0.83%,
Single,Haunting_Apparitions_9,4837,0.81%,
Single,Shattered_Perceptions_7,4837,0.80%,
Single,Dissonant_Echoes_7,4836,0.79%,
Single,Shattered_Perceptions_6,4836,0.78%,
Single,Rabid_Shadows_6,4835,0.77%,
Single,Shattered_Perceptions_5,4835,0.76%,
Single,Haunting_Apparitions_8,4835,0.76%,
Single,Rabid_Shadows_5,4834,0.75%,
Single,Dissonant_Echoes_6,4833,0.73%,
Single,Shattered_Perceptions_3,4833,0.72%,
Single,Shattered_Perceptions_4,4833,0.72%,
Single,Rabid_Shadows_4,4832,0.70%,
Single,Haunting_Apparitions_7,4830,0.67%,
Single,Haunting_Apparitions_6,4829,0.65%,
Single,Shattered_Perceptions_2,4829,0.65%,
Single,Dissonant_Echoes_5,4828,0.63%,
Single,Dissonant_Echoes_4,4828,0.61%,
Single,Rabid_Shadows_3,4827,0.61%,
Single,Haunting_Apparitions_5,4826,0.59%,
Single,Shattered_Perceptions_1,4826,0.58%,
Single,Dissonant_Echoes_3,4826,0.57%,
Single,Rabid_Shadows_2,4825,0.57%,
Single,Haunting_Apparitions_4,4824,0.53%,
Single,Rabid_Shadows_1,4822,0.50%,
Single,Dissonant_Echoes_2,4821,0.48%,
Single,Haunting_Apparitions_3,4821,0.48%,
Single,Haunting_Apparitions_2,4819,0.44%,
Single,Dissonant_Echoes_1,4816,0.37%,
Single,Haunting_Apparitions_1,4813,0.31%,
Single,Base,4798,0.00%,
