profile,actor,DPS,increase,
Single,Dissonant_Echoes_226,5486,3.64%,
Single,Dissonant_Echoes_213,5479,3.52%,
Single,Dissonant_Echoes_200,5475,3.44%,
Single,Dissonant_Echoes_184,5469,3.33%,
Single,Dissonant_Echoes_171,5466,3.27%,
Single,Haunting_Apparitions_226,5460,3.15%,
Single,Dissonant_Echoes_158,5459,3.14%,
Single,Dissonant_Echoes_145,5453,3.03%,
Single,Haunting_Apparitions_213,5447,2.91%,
Single,Haunting_Apparitions_200,5437,2.73%,
Single,Mind_Devourer_226,5431,2.61%,
Single,Haunting_Apparitions_184,5430,2.59%,
Single,Mind_Devourer_213,5426,2.52%,
Single,Mind_Devourer_200,5424,2.47%,
Single,Haunting_Apparitions_171,5419,2.37%,
Single,Mind_Devourer_184,5418,2.36%,
Single,Mind_Devourer_171,5416,2.33%,
Single,Mind_Devourer_158,5411,2.24%,
Single,Mind_Devourer_145,5408,2.18%,
Single,Haunting_Apparitions_158,5408,2.17%,
Single,Haunting_Apparitions_145,5399,2.00%,
Single,Rabid_Shadows_226,5358,1.22%,
Single,Rabid_Shadows_213,5357,1.21%,
Single,Rabid_Shadows_200,5352,1.11%,
Single,Rabid_Shadows_184,5340,0.89%,
Single,Rabid_Shadows_171,5338,0.86%,
Single,Rabid_Shadows_158,5333,0.75%,
Single,Rabid_Shadows_145,5315,0.42%,
Single,Fae_Fermata_226,5296,0.06%,
Single,Fae_Fermata_200,5294,0.02%,
Single,Fae_Fermata_158,5294,0.01%,
Single,Fae_Fermata_213,5293,0.00%,
Single,Base,5293,0.00%,
Single,Fae_Fermata_184,5293,-0.01%,
Single,Fae_Fermata_171,5292,-0.02%,
Single,Fae_Fermata_145,5292,-0.02%,
