profile,actor,DPS,increase,
Composite,Spectral_Flask_of_Power,5398,4.21%,
Composite,Potion_of_Phantom_Fire,5299,2.30%,
Composite,Potion_of_Spectral_Intellect,5289,2.11%,
Composite,Potion_of_Empowered_Exorcisms,5255,1.44%,
Composite,Feast_of_Gluttonous_Hedonism,5242,1.20%,
Composite,Veiled_Augment_Rune,5237,1.11%,
Composite,Tenebrous_Crown_Roast_Aspic,5236,1.09%,
Composite,Spinefin_Souffle_and_Fries,5221,0.79%,
Composite,Iridescent_Ravioli_with_Apple_Sauce,5220,0.77%,
Composite,Steak_a_la_Mode,5216,0.70%,
Composite,Potion_of_Deathly_Fixation,5214,0.66%,
Composite,16_Mastery,5202,0.43%,
Composite,7_Intellect,5202,0.43%,
Composite,16_Critical_Strike,5202,0.42%,
Composite,6_Intellect,5200,0.38%,
Composite,16_Versatility,5200,0.38%,
Composite,16_Haste,5197,0.32%,
Composite,Base,5180,0.00%,
