profile,actor,DPS,increase,
Dungeons,Spectral_Flask_of_Power,8280,3.59%,
Dungeons,Potion_of_Spectral_Intellect,8139,1.83%,
Dungeons,Potion_of_Phantom_Fire,8112,1.49%,
Dungeons,Tenebrous_Crown_Roast_Aspic,8082,1.11%,
Dungeons,Feast_of_Gluttonous_Hedonism,8081,1.10%,
Dungeons,Potion_of_Empowered_Exorcisms,8071,0.98%,
Dungeons,Veiled_Augment_Rune,8058,0.81%,
Dungeons,Steak_a_la_Mode,8053,0.75%,
Dungeons,Iridescent_Ravioli_with_Apple_Sauce,8051,0.73%,
Dungeons,16_Haste,8044,0.64%,
Dungeons,Spinefin_Souffle_and_Fries,8043,0.63%,
Dungeons,Potion_of_Deathly_Fixation,8030,0.46%,
Dungeons,16_Critical_Strike,8024,0.39%,
Dungeons,16_Versatility,8023,0.38%,
Dungeons,16_Mastery,8019,0.33%,
Dungeons,7_Intellect,8019,0.33%,
Dungeons,6_Intellect,8017,0.30%,
Dungeons,Base,7993,0.00%,
