profile,actor,DPS,increase,
Composite,Venthyr_1,7956,36.94%,
Composite,Kyrian_1,7937,36.61%,
Composite,Venthyr_3,7928,36.45%,
Composite,Venthyr_4,7890,35.79%,
Composite,Necrolord_3,7878,35.60%,
Composite,Venthyr_8,7873,35.50%,
Composite,Venthyr_5,7798,34.21%,
Composite,Night_Fae_5,7793,34.12%,
Composite,Necrolord_1,7777,33.85%,
Composite,Necrolord_6,7777,33.85%,
Composite,Venthyr_7,7759,33.54%,
Composite,Venthyr_2,7741,33.23%,
Composite,Necrolord_8,7713,32.74%,
Composite,Night_Fae_3,7710,32.69%,
Composite,Night_Fae_6,7667,31.96%,
Composite,Necrolord_5,7653,31.72%,
Composite,Venthyr_6,7651,31.69%,
Composite,Night_Fae_1,7642,31.53%,
Composite,Night_Fae_2,7635,31.41%,
Composite,Kyrian_3,7630,31.32%,
Composite,Necrolord_4,7586,30.57%,
Composite,Necrolord_2,7579,30.45%,
Composite,Night_Fae_4,7575,30.38%,
Composite,Kyrian_4,7555,30.04%,
Composite,Necrolord_7,7544,29.85%,
Composite,Kyrian_2,7540,29.77%,
Composite,Kyrian_5,7364,26.74%,
Composite,Base,5810,0.00%,
