profile,actor,DPS,increase,
Composite,Kyrian_1,6044,17.91%,
Composite,Necrolord_7,6012,17.28%,
Composite,Venthyr_3,5953,16.13%,
Composite,Kyrian_3,5944,15.97%,
Composite,Night_Fae_8,5943,15.94%,
Composite,Night_Fae_9,5927,15.64%,
Composite,Venthyr_8,5927,15.63%,
Composite,Necrolord_8,5910,15.30%,
Composite,Venthyr_5,5835,13.83%,
Composite,Night_Fae_10,5823,13.60%,
Composite,Night_Fae_13,5818,13.51%,
Composite,Night_Fae_14,5808,13.31%,
Composite,Venthyr_1,5801,13.17%,
Composite,Night_Fae_11,5797,13.09%,
Composite,Night_Fae_12,5790,12.96%,
Composite,Venthyr_2,5779,12.74%,
Composite,Night_Fae_3,5759,12.36%,
Composite,Kyrian_4,5757,12.31%,
Composite,Necrolord_1,5755,12.28%,
Composite,Necrolord_3,5755,12.28%,
Composite,Necrolord_5,5755,12.28%,
Composite,Kyrian_5,5753,12.24%,
Composite,Night_Fae_4,5750,12.18%,
Composite,Venthyr_4,5750,12.17%,
Composite,Necrolord_2,5742,12.03%,
Composite,Necrolord_6,5732,11.83%,
Composite,Necrolord_4,5732,11.83%,
Composite,Night_Fae_2,5731,11.80%,
Composite,Venthyr_6,5728,11.75%,
Composite,Kyrian_2,5722,11.62%,
Composite,Night_Fae_1,5720,11.59%,
Composite,Night_Fae_6,5705,11.30%,
Composite,Night_Fae_15,5699,11.18%,
Composite,Night_Fae_7,5697,11.14%,
Composite,Venthyr_7,5679,10.80%,
Composite,Night_Fae_5,5641,10.05%,
Composite,Base,5126,0.00%,
