profile,actor,DPS,increase,
Dungeons,Kyrian_1,5837,15.93%,
Dungeons,Kyrian_5,5786,14.92%,
Dungeons,Night_Fae_14,5766,14.52%,
Dungeons,Night_Fae_9,5761,14.42%,
Dungeons,Kyrian_3,5732,13.84%,
Dungeons,Venthyr_8,5701,13.23%,
Dungeons,Night_Fae_8,5698,13.17%,
Dungeons,Necrolord_7,5697,13.15%,
Dungeons,Night_Fae_13,5691,13.03%,
Dungeons,Necrolord_8,5660,12.41%,
Dungeons,Night_Fae_10,5619,11.60%,
Dungeons,Night_Fae_15,5616,11.54%,
Dungeons,Venthyr_5,5602,11.26%,
Dungeons,Venthyr_1,5591,11.04%,
Dungeons,Night_Fae_4,5572,10.67%,
Dungeons,Venthyr_2,5572,10.67%,
Dungeons,Venthyr_3,5572,10.67%,
Dungeons,Kyrian_4,5570,10.63%,
Dungeons,Venthyr_4,5532,9.87%,
Dungeons,Kyrian_2,5531,9.85%,
Dungeons,Night_Fae_11,5524,9.71%,
Dungeons,Night_Fae_12,5519,9.61%,
Dungeons,Night_Fae_1,5517,9.57%,
Dungeons,Venthyr_6,5511,9.45%,
Dungeons,Necrolord_2,5510,9.43%,
Dungeons,Night_Fae_3,5504,9.31%,
Dungeons,Night_Fae_2,5472,8.68%,
Dungeons,Night_Fae_6,5464,8.52%,
Dungeons,Venthyr_7,5459,8.42%,
Dungeons,Night_Fae_7,5455,8.34%,
Dungeons,Necrolord_5,5448,8.20%,
Dungeons,Necrolord_3,5447,8.18%,
Dungeons,Necrolord_1,5446,8.16%,
Dungeons,Necrolord_4,5429,7.83%,
Dungeons,Necrolord_6,5428,7.81%,
Dungeons,Night_Fae_5,5421,7.67%,
Dungeons,Base,5035,0.00%,
