profile,actor,DPS,increase,
Dungeons,Necrolord_3,15624,30.04%,
Dungeons,Necrolord_9,15593,29.78%,
Dungeons,Necrolord_11,15561,29.51%,
Dungeons,Necrolord_1,15500,29.01%,
Dungeons,Venthyr_4,15477,28.81%,
Dungeons,Venthyr_3,15258,26.99%,
Dungeons,Venthyr_6,15204,26.54%,
Dungeons,Night_Fae_3,15186,26.39%,
Dungeons,Necrolord_5,15145,26.05%,
Dungeons,Venthyr_5,15139,26.00%,
Dungeons,Venthyr_1,15083,25.53%,
Dungeons,Venthyr_8,14977,24.65%,
Dungeons,Necrolord_4,14965,24.55%,
Dungeons,Necrolord_12,14946,24.39%,
Dungeons,Necrolord_7,14919,24.17%,
Dungeons,Night_Fae_1,14904,24.04%,
Dungeons,Night_Fae_4,14873,23.79%,
Dungeons,Night_Fae_6,14815,23.30%,
Dungeons,Venthyr_7,14814,23.30%,
Dungeons,Night_Fae_5,14704,22.38%,
Dungeons,Necrolord_10,14702,22.36%,
Dungeons,Night_Fae_2,14671,22.11%,
Dungeons,Necrolord_2,14609,21.59%,
Dungeons,Venthyr_2,14548,21.08%,
Dungeons,Necrolord_6,14285,18.89%,
Dungeons,Necrolord_8,14282,18.87%,
Dungeons,Kyrian_16,14161,17.86%,
Dungeons,Kyrian_15,14109,17.43%,
Dungeons,Kyrian_4,13915,15.81%,
Dungeons,Kyrian_14,13858,15.34%,
Dungeons,Kyrian_12,13721,14.20%,
Dungeons,Kyrian_2,13716,14.16%,
Dungeons,Kyrian_3,13618,13.34%,
Dungeons,Kyrian_1,13610,13.28%,
Dungeons,Kyrian_11,13608,13.26%,
Dungeons,Kyrian_10,13591,13.12%,
Dungeons,Kyrian_13,13551,12.78%,
Dungeons,Kyrian_9,13403,11.55%,
Dungeons,Kyrian_8,13398,11.51%,
Dungeons,Kyrian_6,13210,9.95%,
Dungeons,Kyrian_5,13115,9.16%,
Dungeons,Kyrian_7,13109,9.11%,
Dungeons,Base,12015,0.00%,
