profile,actor,DPS,increase,
Single,Necrolord_12,9777,38.72%,
Single,Kyrian_4,9762,38.49%,
Single,Kyrian_14,9723,37.95%,
Single,Night_Fae_3,9713,37.81%,
Single,Venthyr_4,9687,37.44%,
Single,Venthyr_3,9646,36.85%,
Single,Venthyr_6,9625,36.55%,
Single,Necrolord_1,9619,36.47%,
Single,Venthyr_5,9618,36.45%,
Single,Necrolord_10,9617,36.44%,
Single,Necrolord_9,9611,36.35%,
Single,Necrolord_2,9606,36.29%,
Single,Night_Fae_1,9586,36.00%,
Single,Kyrian_11,9554,35.54%,
Single,Kyrian_1,9550,35.50%,
Single,Necrolord_4,9549,35.48%,
Single,Night_Fae_2,9545,35.43%,
Single,Kyrian_2,9543,35.39%,
Single,Kyrian_12,9522,35.10%,
Single,Necrolord_5,9512,34.95%,
Single,Necrolord_6,9512,34.95%,
Single,Kyrian_3,9507,34.89%,
Single,Kyrian_13,9503,34.82%,
Single,Necrolord_11,9498,34.76%,
Single,Night_Fae_4,9472,34.39%,
Single,Venthyr_1,9464,34.27%,
Single,Night_Fae_5,9433,33.83%,
Single,Kyrian_16,9424,33.70%,
Single,Necrolord_8,9421,33.66%,
Single,Venthyr_2,9361,32.82%,
Single,Necrolord_3,9298,31.92%,
Single,Venthyr_7,9225,30.88%,
Single,Kyrian_15,9224,30.86%,
Single,Venthyr_8,9204,30.58%,
Single,Kyrian_10,9181,30.26%,
Single,Necrolord_7,9136,29.61%,
Single,Kyrian_8,9099,29.10%,
Single,Night_Fae_6,9088,28.93%,
Single,Kyrian_9,8991,27.56%,
Single,Kyrian_5,8930,26.69%,
Single,Kyrian_6,8901,26.28%,
Single,Kyrian_7,8873,25.88%,
Single,Base,7048,0.00%,
