profile,actor,DPS,increase,
Composite,Kyrian_Pelagos,5490,13.66%,
Composite,Necrolord_Marileth_Mastery,5410,12.00%,
Composite,Necrolord_Emeni,5333,10.41%,
Composite,Necrolord_Marileth,5326,10.25%,
Composite,Necrolord_Marileth_Mastery_PPS,5294,9.58%,
Composite,Night_Fae_Niya,5264,8.97%,
Composite,Venthyr_Theotar,5235,8.38%,
Composite,Necrolord_Marileth_PPS,5213,7.92%,
Composite,Venthyr_Nadjia,5212,7.89%,
Composite,Night_Fae_Dreamweaver,5180,7.23%,
Composite,Kyrian_Kleia,5118,5.96%,
Composite,Night_Fae_Dreamweaver_SB,5113,5.84%,
Composite,Necrolord_Covenant_Only,5029,4.11%,
Composite,Kyrian_Covenant_Only,4967,2.82%,
Composite,Venthyr_Covenant_Only,4945,2.36%,
Composite,Night_Fae_Covenant_Only,4868,0.78%,
Composite,Base,4831,0.00%,
