profile,actor,DPS,increase,
Composite,Kyrian_Pelagos,5059,13.97%,
Composite,Necrolord_Emeni,4952,11.55%,
Composite,Necrolord_Marileth_Mastery,4932,11.11%,
Composite,Night_Fae_Niya,4908,10.58%,
Composite,Venthyr_Theotar,4899,10.36%,
Composite,Venthyr_Nadjia,4883,10.01%,
Composite,Kyrian_Kleia,4826,8.72%,
Composite,Night_Fae_Dreamweaver_SB,4780,7.69%,
Composite,Necrolord_Marileth_Mastery_PPS,4750,7.00%,
Composite,Night_Fae_Dreamweaver,4711,6.12%,
Composite,Necrolord_Covenant_Only,4659,4.97%,
Composite,Kyrian_Covenant_Only,4623,4.15%,
Composite,Venthyr_Covenant_Only,4588,3.36%,
Composite,Night_Fae_Covenant_Only,4495,1.26%,
Composite,Base,4439,0.00%,
