profile,actor,DPS,increase,
Single,Necrolord_Bonesmith_HAMG_PC,7159,21.89%,
Single,Necrolord_Bonesmith_PC,7118,21.19%,
Single,Necrolord_Bonesmith,7080,20.55%,
Single,Necrolord_Emeni_PC,7059,20.19%,
Single,Necrolord_Marileth_Mastery_PC,7050,20.04%,
Single,Necrolord_Bonesmith_HAMG,6993,19.07%,
Single,Necrolord_Emeni,6990,19.01%,
Single,Necrolord_Marileth_Mastery,6988,18.98%,
Single,Necrolord_Emeni_GC_PC,6913,17.71%,
Single,Kyrian_Forgelite_Talbadars,6862,16.83%,
Single,Night_Fae_Niya,6860,16.80%,
Single,Night_Fae_Dreamweaver,6853,16.69%,
Single,Kyrian_Pelagos_SH,6836,16.39%,
Single,Kyrian_Pelagos,6829,16.28%,
Single,Night_Fae_Korayn,6798,15.75%,
Single,Venthyr_Theotar_SWM-SP,6797,15.73%,
Single,Kyrian_Pelagos_Talbadars,6790,15.61%,
Single,Venthyr_Theotar,6786,15.54%,
Single,Venthyr_Nadjia_SWM-SP,6762,15.13%,
Single,Venthyr_Nadjia,6761,15.12%,
Single,Kyrian_Forgelite,6760,15.10%,
Single,Kyrian_Kleia,6716,14.35%,
Single,Venthyr_Draven_BfW,6695,14.00%,
Single,Kyrian_Forgelite_SH,6677,13.69%,
Single,Venthyr_Draven_SWM-SP,6637,13.01%,
Single,Night_Fae_Dreamweaver_no_FoB,6590,12.21%,
Single,Night_Fae_Korayn_FS,6561,11.71%,
Single,Kyrian_Forgelite_HoG,6550,11.53%,
Single,Venthyr_Covenant_Only_Healing_Reversal,6335,7.86%,
Single,Necrolord_Covenant_Only,6190,5.40%,
Single,Venthyr_Covenant_Only,6054,3.08%,
Single,Night_Fae_Covenant_Only,5991,2.00%,
Single,Kyrian_Covenant_Only,5938,1.11%,
Single,Base,5873,0.00%,
Single,Night_Fae_Covenant_Only_No_CDR,5863,-0.16%,
