profile,actor,DPS,increase,
Single,Kyrian_Pelagos,4824,15.83%,
Single,Necrolord_Emeni,4630,11.16%,
Single,Necrolord_Marileth_Mastery,4613,10.75%,
Single,Venthyr_Theotar,4610,10.68%,
Single,Night_Fae_Niya,4594,10.29%,
Single,Venthyr_Nadjia,4588,10.16%,
Single,Kyrian_Kleia,4552,9.28%,
Single,Night_Fae_Dreamweaver_SB,4471,7.34%,
Single,Necrolord_Marileth_Mastery_PPS,4435,6.47%,
Single,Night_Fae_Dreamweaver,4407,5.80%,
Single,Kyrian_Covenant_Only,4361,4.70%,
Single,Necrolord_Covenant_Only,4350,4.44%,
Single,Venthyr_Covenant_Only,4321,3.75%,
Single,Night_Fae_Covenant_Only,4199,0.81%,
Single,Base,4165,0.00%,
