profile,actor,DPS,increase,
Composite,Kyrian_Pelagos,6220,13.07%,
Composite,Necrolord_Marileth_Mastery,6163,12.03%,
Composite,Necrolord_Bonesmith,6076,10.44%,
Composite,Necrolord_Emeni,6062,10.20%,
Composite,Night_Fae_Niya,6044,9.86%,
Composite,Necrolord_Marileth_Mastery_PPS,6017,9.38%,
Composite,Venthyr_Theotar,5989,8.86%,
Composite,Night_Fae_Dreamweaver,5975,8.61%,
Composite,Night_Fae_Korayn,5970,8.52%,
Composite,Venthyr_Nadjia,5969,8.51%,
Composite,Kyrian_Forgelite,5904,7.33%,
Composite,Night_Fae_Dreamweaver_SB,5884,6.96%,
Composite,Necrolord_Bonesmith_SS,5873,6.75%,
Composite,Venthyr_Draven,5843,6.21%,
Composite,Kyrian_Kleia,5839,6.14%,
Composite,Necrolord_Covenant_Only,5709,3.79%,
Composite,Venthyr_Covenant_Only,5652,2.74%,
Composite,Kyrian_Covenant_Only,5646,2.63%,
Composite,Night_Fae_Covenant_Only,5570,1.26%,
Composite,Base,5501,0.00%,
