profile,actor,DPS,increase,
Dungeons,Venthyr_Theotar_Haste_SFP-SP,15614,22.67%,
Dungeons,Necrolord_Bonesmith_HAMG_SFP,15554,22.20%,
Dungeons,Necrolord_Bonesmith_SFP_RS,15518,21.92%,
Dungeons,Necrolord_Marileth_SFP_RS,15504,21.81%,
Dungeons,Venthyr_Theotar_Haste_SFP-RS,15384,20.87%,
Dungeons,Venthyr_Theotar_Intellect_SFP-SP,15384,20.87%,
Dungeons,Venthyr_Theotar_Versatility_SFP-SP,15373,20.78%,
Dungeons,Venthyr_Theotar_Crit_SFP-SP,15281,20.06%,
Dungeons,Necrolord_Bonesmith_SFP_MD,15264,19.92%,
Dungeons,Night_Fae_Dreamweaver_SFP,15252,19.83%,
Dungeons,Necrolord_Marileth_SFP_MD,15215,19.54%,
Dungeons,Venthyr_Nadjia_SFP-SP,15211,19.51%,
Dungeons,Venthyr_Theotar_Intellect_SFP-RS,15167,19.16%,
Dungeons,Night_Fae_Dreamweaver_80%_FoB_SFP,15147,19.01%,
Dungeons,Venthyr_Theotar_Versatility_SFP-RS,15119,18.79%,
Dungeons,Necrolord_Emeni_SFP_RS,15084,18.51%,
Dungeons,Venthyr_Theotar_Crit_SFP-RS,15074,18.43%,
Dungeons,Venthyr_Nadjia_SFP-RS,15023,18.03%,
Dungeons,Venthyr_Theotar_Haste_Talbadars-MD-Damn,14980,17.69%,
Dungeons,Venthyr_Theotar_Haste_Talbadars-SP-Damn,14959,17.53%,
Dungeons,Venthyr_Draven_BfW_SFP,14949,17.45%,
Dungeons,Venthyr_Draven_SFP-SP,14920,17.22%,
Dungeons,Necrolord_Bonesmith_HAMG_Talbadars-VoiT,14902,17.08%,
Dungeons,Necrolord_Emeni_GC_SFP,14895,17.03%,
Dungeons,Night_Fae_Niya_SFP,14839,16.59%,
Dungeons,Necrolord_Emeni_SFP_MD,14825,16.48%,
Dungeons,Venthyr_Theotar_Intellect_Talbadars-MD-Damn,14777,16.10%,
Dungeons,Night_Fae_Korayn_FS_SFP,14769,16.04%,
Dungeons,Necrolord_Marileth_Talbadars-VoiT,14766,16.01%,
Dungeons,Necrolord_Bonesmith_HAMG_Talbadars-Damn,14758,15.95%,
Dungeons,Kyrian_Forgelite_HoG_SFP,14756,15.93%,
Dungeons,Venthyr_Theotar_Versatility_Talbadars-MD-Damn,14741,15.82%,
Dungeons,Venthyr_Theotar_Intellect_Talbadars-SP-Damn,14732,15.74%,
Dungeons,Venthyr_Draven_SFP-RS,14710,15.57%,
Dungeons,Venthyr_Theotar_Versatility_Talbadars-SP-Damn,14692,15.43%,
Dungeons,Necrolord_Bonesmith_Talbadars-VoiT,14685,15.38%,
Dungeons,Venthyr_Theotar_Crit_Talbadars-MD-Damn,14677,15.31%,
Dungeons,Venthyr_Theotar_Haste_Talbadars-SP-VoiT,14662,15.19%,
Dungeons,Venthyr_Draven_BfW_Talbadars-Damn,14659,15.17%,
Dungeons,Necrolord_Marileth_Talbadars-Damn,14640,15.02%,
Dungeons,Venthyr_Draven_BfW_Talbadars-VoiT,14639,15.01%,
Dungeons,Venthyr_Theotar_Haste_Talbadars-MD-VoiT,14630,14.94%,
Dungeons,Night_Fae_Korayn_SFP,14615,14.83%,
Dungeons,Venthyr_Theotar_Crit_Talbadars-SP-Damn,14614,14.82%,
Dungeons,Necrolord_Bonesmith_Talbadars-Damn,14611,14.79%,
Dungeons,Venthyr_Nadjia_Talbadars-MD-Damn,14606,14.75%,
Dungeons,Venthyr_Nadjia_Talbadars-SP-Damn,14558,14.38%,
Dungeons,Venthyr_Theotar_Intellect_Talbadars-SP-VoiT,14501,13.93%,
Dungeons,Venthyr_Theotar_Versatility_Talbadars-SP-VoiT,14470,13.69%,
Dungeons,Venthyr_Theotar_Intellect_Talbadars-MD-VoiT,14449,13.52%,
Dungeons,Venthyr_Theotar_Versatility_Talbadars-MD-VoiT,14419,13.29%,
Dungeons,Venthyr_Theotar_Crit_Talbadars-SP-VoiT,14397,13.11%,
Dungeons,Night_Fae_Dreamweaver_Talbadars-Damn,14380,12.98%,
Dungeons,Venthyr_Theotar_Crit_Talbadars-MD-VoiT,14352,12.76%,
Dungeons,Night_Fae_Dreamweaver_Talbadars-VoiT,14342,12.68%,
Dungeons,Venthyr_Nadjia_Talbadars-SP-VoiT,14328,12.57%,
Dungeons,Kyrian_Forgelite_HoG_Talbadars-VoiT,14323,12.53%,
Dungeons,Venthyr_Draven_Talbadars-MD-Damn,14323,12.53%,
Dungeons,Night_Fae_Korayn_FS_Talbadars-VoiT,14315,12.47%,
Dungeons,Night_Fae_Dreamweaver_80%_FoB_Talbadars-VoiT,14299,12.34%,
Dungeons,Night_Fae_Dreamweaver_80%_FoB_Talbadars-Damn,14288,12.26%,
Dungeons,Venthyr_Nadjia_Talbadars-MD-VoiT,14284,12.23%,
Dungeons,Venthyr_Draven_Talbadars-SP-Damn,14274,12.15%,
Dungeons,Necrolord_Emeni_Talbadars-VoiT,14266,12.08%,
Dungeons,Venthyr_Draven_Talbadars-MD-VoiT,14264,12.07%,
