profile,actor,DPS,increase,
Dungeons,Night_Fae_Korayn_FS,7226,12.24%,
Dungeons,Kyrian_Forgelite_HoG,7169,11.35%,
Dungeons,Necrolord_Bonesmith_HAMG,7168,11.34%,
Dungeons,Necrolord_Bonesmith,7069,9.80%,
Dungeons,Venthyr_Nadjia,7048,9.47%,
Dungeons,Kyrian_Pelagos,7025,9.12%,
Dungeons,Necrolord_Marileth_Mastery_PPS,7010,8.88%,
Dungeons,Venthyr_Draven,7002,8.76%,
Dungeons,Kyrian_Kleia,7001,8.74%,
Dungeons,Venthyr_Theotar,6997,8.68%,
Dungeons,Necrolord_Emeni,6995,8.65%,
Dungeons,Night_Fae_Korayn,6992,8.61%,
Dungeons,Necrolord_Marileth_Mastery,6958,8.08%,
Dungeons,Venthyr_Nadjia_DD,6938,7.77%,
Dungeons,Kyrian_Forgelite,6866,6.65%,
Dungeons,Night_Fae_Dreamweaver,6822,5.96%,
Dungeons,Venthyr_Covenant_Only_Healing_Reversal,6820,5.93%,
Dungeons,Night_Fae_Niya,6736,4.63%,
Dungeons,Necrolord_Covenant_Only,6603,2.56%,
Dungeons,Venthyr_Covenant_Only,6588,2.33%,
Dungeons,Kyrian_Covenant_Only,6544,1.65%,
Dungeons,Night_Fae_Covenant_Only,6536,1.52%,
Dungeons,Base,6438,0.00%,
