profile,actor,DPS,increase,
Single,Kyrian_Pelagos,6414,15.98%,
Single,Necrolord_Bonesmith_HAMG,6340,14.64%,
Single,Necrolord_Bonesmith,6338,14.60%,
Single,Night_Fae_Niya,6320,14.28%,
Single,Necrolord_Emeni,6277,13.50%,
Single,Necrolord_Marileth_Mastery,6253,13.06%,
Single,Venthyr_Theotar,6249,12.99%,
Single,Venthyr_Nadjia_DD,6247,12.96%,
Single,Venthyr_Nadjia,6228,12.62%,
Single,Kyrian_Kleia,6216,12.40%,
Single,Night_Fae_Korayn,6178,11.70%,
Single,Kyrian_Forgelite,6172,11.60%,
Single,Venthyr_Draven,6171,11.58%,
Single,Night_Fae_Dreamweaver,6148,11.16%,
Single,Necrolord_Marileth_Mastery_PPS,6119,10.64%,
Single,Kyrian_Forgelite_HoG,6029,9.01%,
Single,Night_Fae_Korayn_FS,6024,8.92%,
Single,Necrolord_Covenant_Only,5764,4.22%,
Single,Kyrian_Covenant_Only,5722,3.46%,
Single,Venthyr_Covenant_Only,5705,3.15%,
Single,Night_Fae_Covenant_Only,5575,0.80%,
Single,Base,5530,0.00%,
