profile,actor,DPS,increase,
Composite,Weapon_Sinful_Revelation,5166,2.07%,
Composite,Weapon_Celestial_Guidance,5163,2.02%,
Composite,Chest_Eternal_Insight,5156,1.88%,
Composite,Chest_Eternal_Stats,5146,1.67%,
Composite,Weapon_Lightless_Force,5141,1.58%,
Composite,Chest_Sacred_Stats,5117,1.11%,
Composite,Chest_Eternal_Bounds,5116,1.09%,
Composite,Wrists_Eternal_Intellect,5102,0.81%,
Composite,Wrists_Illuminated_Soul,5088,0.52%,
Composite,Ring_Tenet_of_Haste,5083,0.43%,
Composite,Ring_Tenet_of_Critical_Strike,5081,0.40%,
Composite,Ring_Tenet_of_Mastery,5081,0.40%,
Composite,Ring_Tenet_of_Versatility,5080,0.37%,
Composite,Ring_Bargain_of_Haste,5078,0.34%,
Composite,Ring_Bargain_of_Mastery,5077,0.31%,
Composite,Ring_Bargain_of_Critical_Strike,5076,0.30%,
Composite,Ring_Bargain_of_Versatility,5075,0.28%,
Composite,Base,5061,0.00%,
