profile,actor,DPS,increase,
Dungeons,Chest_Eternal_Stats,2752,2.80%,
Dungeons,Chest_Eternal_Insight,2728,1.91%,
Dungeons,Chest_Sacred_Stats,2727,1.87%,
Dungeons,Chest_Eternal_Bounds,2726,1.83%,
Dungeons,Wrists_Eternal_Intellect,2712,1.31%,
Dungeons,Wrists_Illuminated_Soul,2703,0.97%,
Dungeons,Ring_Tenet_of_Haste,2680,0.11%,
Dungeons,Weapon_Celestial_Guidance,2678,0.04%,
Dungeons,Weapon_Sinful_Revelation,2678,0.04%,
Dungeons,Base,2677,0.00%,
Dungeons,Weapon_Lightless_Force,2677,0.00%,
Dungeons,Ring_Bargain_of_Haste,2674,-0.11%,
Dungeons,Ring_Tenet_of_Mastery,2670,-0.26%,
Dungeons,Ring_Tenet_of_Critical_Strike,2668,-0.34%,
Dungeons,Ring_Tenet_of_Versatility,2668,-0.34%,
Dungeons,Ring_Bargain_of_Mastery,2667,-0.37%,
Dungeons,Ring_Bargain_of_Versatility,2667,-0.37%,
Dungeons,Ring_Bargain_of_Critical_Strike,2665,-0.45%,
