profile,actor,DPS,increase,
Single,Weapon_Sinful_Revelation,10580,2.18%,
Single,Weapon_Celestial_Guidance,10572,2.11%,
Single,Chest_Eternal_Insight,10485,1.27%,
Single,Chest_Eternal_Stats,10478,1.20%,
Single,Weapon_Lightless_Force,10444,0.87%,
Single,Chest_Sacred_Stats,10436,0.80%,
Single,Chest_Eternal_Bounds,10433,0.77%,
Single,Ring_Tenet_of_Haste,10411,0.56%,
Single,Wrists_Eternal_Intellect,10408,0.52%,
Single,Ring_Tenet_of_Mastery,10401,0.46%,
Single,Ring_Bargain_of_Haste,10396,0.41%,
Single,Wrists_Illuminated_Soul,10393,0.38%,
Single,Ring_Tenet_of_Versatility,10388,0.34%,
Single,Ring_Bargain_of_Mastery,10387,0.32%,
Single,Ring_Bargain_of_Critical_Strike,10384,0.29%,
Single,Ring_Tenet_of_Critical_Strike,10382,0.28%,
Single,Ring_Bargain_of_Versatility,10378,0.24%,
Single,Base,10353,0.00%,
