profile,actor,DPS,increase,
Single,Weapon_Sinful_Revelation,4820,2.54%,
Single,Weapon_Celestial_Guidance,4800,2.13%,
Single,Chest_Eternal_Insight,4795,2.00%,
Single,Chest_Eternal_Stats,4781,1.72%,
Single,Weapon_Lightless_Force,4757,1.21%,
Single,Chest_Sacred_Stats,4756,1.19%,
Single,Chest_Eternal_Bounds,4755,1.17%,
Single,Wrists_Eternal_Intellect,4741,0.86%,
Single,Wrists_Illuminated_Soul,4730,0.62%,
Single,Ring_Tenet_of_Versatility,4721,0.45%,
Single,Ring_Tenet_of_Critical_Strike,4721,0.43%,
Single,Ring_Tenet_of_Mastery,4720,0.43%,
Single,Ring_Bargain_of_Critical_Strike,4717,0.35%,
Single,Ring_Bargain_of_Mastery,4716,0.34%,
Single,Ring_Bargain_of_Versatility,4715,0.32%,
Single,Ring_Tenet_of_Haste,4712,0.24%,
Single,Ring_Bargain_of_Haste,4710,0.20%,
Single,Base,4700,0.00%,
