profile,actor,DPS,increase,
Composite,Talbadars_Stratagem,10136,5.25%,
Composite,Eternal_Call_to_the_Void,10066,4.52%,
Composite,Shadowflame_Prism_Rabid_Shadows_11_Mindbender,10052,4.37%,
Composite,Talbadars_Stratagem_Mind_Devourer_11,10030,4.15%,
Composite,Shadowflame_Prism_Mindbender,10026,4.11%,
Composite,Shadowflame_Prism,9919,3.00%,
Composite,Spheres_Harmony,9823,2.00%,
Composite,Echo_of_Eonar,9787,1.63%,
Composite,Judgment_of_the_Arbiter,9748,1.22%,
Composite,Shadowflame_Prism_Rabid_Shadows_11,9739,1.13%,
Composite,Painbreaker_Psalm,9734,1.08%,
Composite,Sephuzs_Proclamation,9644,0.14%,
Composite,Third_Eye_of_the_Jailer,9633,0.02%,
Composite,Base,9631,0.00%,
Composite,Twins_of_the_Sun_Priestess_Conduit_11,9474,-1.62%,
