profile,actor,DPS,increase,
Composite,Shadowflame_Prism_Conduit_7_Mindbender,6704,6.47%,
Composite,Shadowflame_Prism_Mindbender,6704,6.47%,
Composite,Talbadars_Stratagem,6642,5.49%,
Composite,Talbadars_Stratagem_Mind_Devourer_7,6620,5.14%,
Composite,Eternal_Call_to_the_Void,6550,4.02%,
Composite,Shadowflame_Prism,6466,2.69%,
Composite,Echo_of_Eonar,6396,1.58%,
Composite,Judgment_of_the_Arbiter,6394,1.55%,
Composite,Shadowflame_Prism_Conduit_7,6349,0.83%,
Composite,Painbreaker_Psalm,6322,0.41%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7,6322,0.40%,
Composite,Sephuzs_Proclamation,6320,0.38%,
Composite,Third_Eye_of_the_Jailer,6297,0.01%,
Composite,Base,6297,0.00%,
