profile,actor,DPS,increase,
Composite,Eternal_Call_to_the_Void,6329,4.78%,
Composite,Talbadars_Stratagem,6273,3.85%,
Composite,Shadowflame_Prism,6153,1.86%,
Composite,Judgment_of_the_Arbiter,6145,1.73%,
Composite,Echo_of_Eonar,6137,1.59%,
Composite,Painbreaker_Psalm,6092,0.86%,
Composite,Shadowflame_Prism_Conduit_7,6080,0.65%,
Composite,Sephuzs_Proclamation,6064,0.39%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7,6052,0.20%,
Composite,Base,6041,0.00%,
Composite,Third_Eye_of_the_Jailer,6040,0.00%,
