profile,actor,DPS,increase,
Composite,Eternal_Call_to_the_Void,6301,4.88%,
Composite,Talbadars_Stratagem,6228,3.67%,
Composite,Talbadars_Stratagem_Mind_Devourer_7,6195,3.12%,
Composite,Shadowflame_Prism,6146,2.31%,
Composite,Judgment_of_the_Arbiter,6110,1.70%,
Composite,Echo_of_Eonar,6103,1.60%,
Composite,Painbreaker_Psalm,6065,0.95%,
Composite,Shadowflame_Prism_Conduit_7,6039,0.53%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7,6034,0.45%,
Composite,Sephuzs_Proclamation,6032,0.41%,
Composite,Third_Eye_of_the_Jailer,6008,0.00%,
Composite,Base,6007,0.00%,
