profile,actor,DPS,increase,
Dungeons,Eternal_Call_to_the_Void,7047,6.50%,
Dungeons,Shadowflame_Prism_Conduit_11,6947,4.99%,
Dungeons,Shadowflame_Prism_Conduit_11_Mindbender,6946,4.97%,
Dungeons,Painbreaker_Psalm,6861,3.69%,
Dungeons,Shadowflame_Prism,6842,3.40%,
Dungeons,Shadowflame_Prism_Mindbender,6839,3.35%,
Dungeons,Talbadars_Stratagem,6820,3.07%,
Dungeons,Sephuzs_Proclamation,6784,2.52%,
Dungeons,Echo_of_Eonar,6709,1.39%,
Dungeons,Judgment_of_the_Arbiter,6702,1.28%,
Dungeons,Bwonsamdis_Pact_Benevolent,6679,0.94%,
Dungeons,Twins_of_the_Sun_Priestess_Conduit_11,6676,0.89%,
Dungeons,Bwonsamdis_Pact_Wrathful,6657,0.60%,
Dungeons,Base,6617,0.00%,
Dungeons,Third_Eye_of_the_Jailer,6614,-0.05%,
