profile,actor,DPS,increase,
Dungeons,Eternal_Call_to_the_Void,9299,7.01%,
Dungeons,Shadow_Word_Manipulation_9_Shattered_Perceptions_11,9272,6.70%,
Dungeons,Shadowflame_Prism_Rabid_Shadows_11,9265,6.62%,
Dungeons,Shadowflame_Prism_Rabid_Shadows_11_Mindbender,9253,6.48%,
Dungeons,Shadow_Word_Manipulation_7,9188,5.73%,
Dungeons,Shadowflame_Prism_Mindbender,9106,4.79%,
Dungeons,Shadowflame_Prism,9097,4.68%,
Dungeons,Talbadars_Stratagem,8976,3.29%,
Dungeons,Sephuzs_Proclamation,8917,2.61%,
Dungeons,Painbreaker_Psalm,8878,2.16%,
Dungeons,Echo_of_Eonar,8832,1.63%,
Dungeons,Twins_of_the_Sun_Priestess_Conduit_11,8832,1.63%,
Dungeons,Judgment_of_the_Arbiter,8815,1.44%,
Dungeons,Base,8690,0.00%,
Dungeons,Third_Eye_of_the_Jailer,8690,0.00%,
