profile,actor,DPS,increase,
Dungeons,Eternal_Call_to_the_Void,6803,6.43%,
Dungeons,Talbadars_Stratagem_Mind_Devourer_7,6635,3.80%,
Dungeons,Talbadars_Stratagem,6626,3.66%,
Dungeons,Shadowflame_Prism_Conduit_7,6597,3.21%,
Dungeons,Sephuzs_Proclamation,6569,2.77%,
Dungeons,Shadowflame_Prism,6544,2.38%,
Dungeons,Painbreaker_Psalm,6494,1.60%,
Dungeons,Echo_of_Eonar,6493,1.58%,
Dungeons,Judgment_of_the_Arbiter,6488,1.50%,
Dungeons,Third_Eye_of_the_Jailer,6394,0.03%,
Dungeons,Base,6392,0.00%,
Dungeons,Twins_of_the_Sun_Priestess_Conduit_7,6381,-0.17%,
