profile,actor,DPS,increase,
Dungeons,Eternal_Call_to_the_Void,13207,5.55%,
Dungeons,Pallid_Command,13160,5.18%,
Dungeons,Shadowflame_Prism_Rabid_Shadows_13_Mindbender,13078,4.52%,
Dungeons,Talbadars_Stratagem,12926,3.31%,
Dungeons,Sephuzs_Proclamation,12809,2.37%,
Dungeons,Echo_of_Eonar,12707,1.56%,
Dungeons,Painbreaker_Psalm,12658,1.17%,
Dungeons,Judgment_of_the_Arbiter,12636,0.99%,
Dungeons,Base,12512,0.00%,
Dungeons,Third_Eye_of_the_Jailer,12495,-0.14%,
Dungeons,Twins_of_the_Sun_Priestess_Conduit_13,12102,-3.28%,
