profile,actor,DPS,increase,
Single,Shadowflame_Prism_Conduit_9_Mindbender,6418,6.72%,
Single,Talbadars_Stratagem,6372,5.95%,
Single,Shadowflame_Prism_Mindbender,6329,5.24%,
Single,Eternal_Call_to_the_Void,6295,4.67%,
Single,Shadowflame_Prism,6184,2.83%,
Single,Shadowflame_Prism_Conduit_9,6159,2.42%,
Single,Judgment_of_the_Arbiter,6115,1.68%,
Single,Echo_of_Eonar,6107,1.54%,
Single,Painbreaker_Psalm,6087,1.22%,
Single,Twins_of_the_Sun_Priestess_Conduit_9,6043,0.48%,
Single,Base,6014,0.00%,
Single,Sephuzs_Proclamation,6014,0.00%,
Single,Third_Eye_of_the_Jailer,6012,-0.03%,
