profile,actor,DPS,increase,
Single,Eternal_Call_to_the_Void,6178,5.15%,
Single,Talbadars_Stratagem,6146,4.60%,
Single,Talbadars_Stratagem_Mind_Devourer_7,6106,3.92%,
Single,Judgment_of_the_Arbiter,5982,1.81%,
Single,Echo_of_Eonar,5969,1.58%,
Single,Painbreaker_Psalm,5963,1.49%,
Single,Twins_of_the_Sun_Priestess_Conduit_7,5906,0.51%,
Single,Shadowflame_Prism,5901,0.43%,
Single,Base,5876,0.00%,
Single,Sephuzs_Proclamation,5874,-0.03%,
Single,Third_Eye_of_the_Jailer,5874,-0.03%,
Single,Shadowflame_Prism_Conduit_7,5789,-1.47%,
