profile,actor,DPS,increase,
Single,Pallid_Command,10804,10.33%,
Single,Shadowflame_Prism_Rabid_Shadows_11_Mindbender,10561,7.85%,
Single,Talbadars_Stratagem,10490,7.13%,
Single,Shadowflame_Prism_Mindbender,10378,5.98%,
Single,Eternal_Call_to_the_Void,10231,4.49%,
Single,Shadowflame_Prism,10120,3.36%,
Single,Shadowflame_Prism_Rabid_Shadows_11,10074,2.88%,
Single,Echo_of_Eonar,9949,1.61%,
Single,Painbreaker_Psalm,9945,1.57%,
Single,Judgment_of_the_Arbiter,9912,1.23%,
Single,Base,9792,0.00%,
Single,Sephuzs_Proclamation,9791,-0.01%,
Single,Third_Eye_of_the_Jailer,9791,-0.01%,
Single,Twins_of_the_Sun_Priestess_Conduit_11,9735,-0.59%,
