profile,actor,DPS,increase,
Composite,Shadowflame_Prism_Mindbender_Conduit_Hands_HM_291,14151,11.10%,
Composite,Shadowflame_Prism_Mindbender_Conduit_Head_HM_291,14126,10.91%,
Composite,Shadowflame_Prism_Mindbender_Hands_HM_291,13949,9.51%,
Composite,Shadowflame_Prism_Mindbender_Conduit_Hands_HM_262,13941,9.45%,
Composite,Shadowflame_Prism_Mindbender_Head_HM_291,13930,9.36%,
Composite,Talbadars_Stratagem_Waist_HM_291,13880,8.97%,
Composite,Talbadars_Stratagem_Legs_HM_291,13876,8.94%,
Composite,Shadowflame_Prism_Mindbender_Conduit_Head_HM_262,13873,8.92%,
Composite,Shadowflame_Prism_Mindbender_Hands_HM_262,13742,7.89%,
Composite,Talbadars_Stratagem_Waist_HM_262,13685,7.44%,
Composite,Shadowflame_Prism_Mindbender_Head_HM_262,13676,7.37%,
Composite,Talbadars_Stratagem_Legs_HM_262,13627,6.99%,
Composite,Eternal_Call_to_the_Void_Hands_HM_291,13545,6.34%,
Composite,Eternal_Call_to_the_Void_Wrists_HM_291,13433,5.46%,
Composite,Shadowflame_Prism_Hands_HM_291,13396,5.18%,
Composite,Shadowflame_Prism_Head_HM_291,13389,5.11%,
Composite,Eternal_Call_to_the_Void_Hands_HM_262,13345,4.77%,
Composite,Eternal_Call_to_the_Void_Wrists_HM_262,13284,4.29%,
Composite,Shadowflame_Prism_Conduit_Hands_HM_291,13232,3.88%,
Composite,Shadowflame_Prism_Conduit_Head_HM_291,13220,3.79%,
Composite,Shadowflame_Prism_Hands_HM_262,13198,3.62%,
Composite,Spheres_Harmony_Hands_Conduit_13_HM_291,13135,3.12%,
Composite,Spheres_Harmony_Head_Conduit_13_HM_291,13127,3.06%,
Composite,Spheres_Harmony_Chest_Conduit_13_HM_291,13096,2.82%,
Composite,Shadowflame_Prism_Head_HM_262,13095,2.81%,
Composite,Spheres_Harmony_Waist_Conduit_13_HM_291,13080,2.69%,
Composite,Spheres_Harmony_Legs_Conduit_13_HM_291,13072,2.62%,
Composite,Spheres_Harmony_Finger_Conduit_13_HM_291,13070,2.62%,
Composite,Spheres_Harmony_Feet_Conduit_13_HM_291,13060,2.54%,
Composite,Shadowflame_Prism_Conduit_Hands_HM_262,13032,2.31%,
Composite,Spheres_Harmony_Shoulder_Conduit_13_HM_291,13017,2.20%,
Composite,Spheres_Harmony_Back_Conduit_13_HM_291,13015,2.18%,
Composite,Spheres_Harmony_Wrists_Conduit_13_HM_291,13006,2.11%,
Composite,Spheres_Harmony_Hands_HM_291,13004,2.09%,
Composite,Spheres_Harmony_Head_HM_291,12990,1.98%,
Composite,Shadowflame_Prism_Conduit_Head_HM_262,12976,1.87%,
Composite,Spheres_Harmony_Neck_Conduit_13_HM_291,12974,1.86%,
Composite,Spheres_Harmony_Chest_HM_291,12966,1.80%,
Composite,Spheres_Harmony_Waist_HM_291,12953,1.69%,
Composite,Spheres_Harmony_Hands_Conduit_13_HM_262,12946,1.64%,
Composite,Painbreaker_Psalm_Chest_HM_291,12945,1.63%,
Composite,Spheres_Harmony_Legs_HM_291,12941,1.60%,
Composite,Spheres_Harmony_Finger_HM_291,12941,1.60%,
Composite,Spheres_Harmony_Feet_HM_291,12932,1.53%,
Composite,Spheres_Harmony_Finger_Conduit_13_HM_262,12928,1.50%,
Composite,Spheres_Harmony_Waist_Conduit_13_HM_262,12895,1.24%,
Composite,Spheres_Harmony_Head_Conduit_13_HM_262,12894,1.23%,
Composite,Spheres_Harmony_Shoulder_HM_291,12890,1.20%,
Composite,Spheres_Harmony_Wrists_HM_291,12887,1.18%,
Composite,Spheres_Harmony_Back_HM_291,12883,1.15%,
Composite,Painbreaker_Psalm_Back_HM_291,12880,1.12%,
Composite,Spheres_Harmony_Back_Conduit_13_HM_262,12875,1.09%,
Composite,Spheres_Harmony_Feet_Conduit_13_HM_262,12873,1.07%,
Composite,Spheres_Harmony_Wrists_Conduit_13_HM_262,12866,1.01%,
Composite,Spheres_Harmony_Chest_Conduit_13_HM_262,12865,1.00%,
Composite,Spheres_Harmony_Cord_of_Unity_Conduit_13_265,12861,0.97%,
Composite,Spheres_Harmony_Neck_HM_291,12852,0.90%,
Composite,Spheres_Harmony_Legs_Conduit_13_HM_262,12840,0.81%,
Composite,Spheres_Harmony_Neck_Conduit_13_HM_262,12833,0.75%,
Composite,Spheres_Harmony_Shoulder_Conduit_13_HM_262,12830,0.73%,
Composite,Spheres_Harmony_Hands_HM_262,12815,0.61%,
Composite,Spheres_Harmony_Finger_HM_262,12793,0.44%,
Composite,Spheres_Harmony_Waist_HM_262,12766,0.23%,
Composite,Spheres_Harmony_Head_HM_262,12753,0.12%,
Composite,Spheres_Harmony_Back_HM_262,12747,0.08%,
Composite,Spheres_Harmony_Feet_HM_262,12744,0.05%,
Composite,Spheres_Harmony_Wrists_HM_262,12743,0.05%,
Composite,Painbreaker_Psalm_Back_HM_262,12737,0.00%,
Composite,Base,12737,0.00%,
Composite,Shadowflame_Prism_Head_HM_262+legs,12735,-0.02%,
Composite,Spheres_Harmony_Cord_of_Unity_265,12732,-0.04%,
Composite,Spheres_Harmony_Chest_HM_262,12729,-0.06%,
Composite,Painbreaker_Psalm_Chest_HM_262,12711,-0.21%,
Composite,Spheres_Harmony_Neck_HM_262,12709,-0.22%,
Composite,Spheres_Harmony_Legs_HM_262,12708,-0.23%,
Composite,Spheres_Harmony_Shoulder_HM_262,12702,-0.27%,
Composite,Twins_of_the_Sun_Priestess_Conduit_13_Head_HM_291,12511,-1.78%,
Composite,Twins_of_the_Sun_Priestess_Conduit_13_Shoulder_HM_291,12419,-2.50%,
Composite,Twins_of_the_Sun_Priestess_Conduit_13_Head_HM_262,12284,-3.56%,
Composite,Twins_of_the_Sun_Priestess_Conduit_13_Shoulder_HM_262,12232,-3.96%,
