profile,actor,DPS,increase,
Composite,Eternal_Call_to_the_Void_Hands_235,6361,6.00%,
Composite,Eternal_Call_to_the_Void_Wrists_235,6355,5.91%,
Composite,Eternal_Call_to_the_Void_Wrists_225,6331,5.51%,
Composite,Eternal_Call_to_the_Void_Hands_225,6331,5.51%,
Composite,Eternal_Call_to_the_Void_Wrists_210,6302,5.03%,
Composite,Eternal_Call_to_the_Void_Hands_210,6295,4.90%,
Composite,Talbadars_Stratagem_Legs_235,6292,4.85%,
Composite,Talbadars_Stratagem_Waist_235,6280,4.66%,
Composite,Eternal_Call_to_the_Void_Wrists_190,6269,4.47%,
Composite,Talbadars_Stratagem_Legs_225,6256,4.26%,
Composite,Talbadars_Stratagem_Waist_225,6254,4.21%,
Composite,Eternal_Call_to_the_Void_Hands_190,6248,4.13%,
Composite,Talbadars_Stratagem_Waist_210,6206,3.42%,
Composite,Talbadars_Stratagem_Legs_210,6205,3.41%,
Composite,Talbadars_Stratagem_Waist_190,6158,2.63%,
Composite,Talbadars_Stratagem_Legs_190,6147,2.43%,
Composite,Shadowflame_Prism_Head_235,6137,2.27%,
Composite,Shadowflame_Prism_Hands_235,6134,2.23%,
Composite,Judgment_of_the_Arbiter_Hands_235,6131,2.17%,
Composite,Judgment_of_the_Arbiter_Wrists_235,6122,2.02%,
Composite,Echo_of_Eonar_Waist_235,6117,1.93%,
Composite,Echo_of_Eonar_Wrists_235,6112,1.85%,
Composite,Shadowflame_Prism_Head_225,6105,1.74%,
Composite,Shadowflame_Prism_Hands_225,6104,1.73%,
Composite,Judgment_of_the_Arbiter_Wrists_225,6101,1.67%,
Composite,Judgment_of_the_Arbiter_Hands_225,6100,1.66%,
Composite,Judgment_of_the_Arbiter_Finger_235,6098,1.62%,
Composite,Echo_of_Eonar_Wrists_225,6092,1.51%,
Composite,Echo_of_Eonar_Waist_225,6090,1.49%,
Composite,Echo_of_Eonar_Finger_235,6087,1.44%,
Composite,Judgment_of_the_Arbiter_Wrists_210,6074,1.21%,
Composite,Shadowflame_Prism_Hands_210,6070,1.16%,
Composite,Judgment_of_the_Arbiter_Finger_225,6069,1.14%,
Composite,Judgment_of_the_Arbiter_Hands_210,6067,1.10%,
Composite,Echo_of_Eonar_Wrists_210,6064,1.05%,
Composite,Echo_of_Eonar_Finger_225,6059,0.96%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Head_235,6058,0.95%,
Composite,Shadowflame_Prism_Head_210,6050,0.82%,
Composite,Echo_of_Eonar_Waist_210,6048,0.79%,
Composite,Shadowflame_Prism_Conduit_Head_235,6048,0.78%,
Composite,Shadowflame_Prism_Conduit_Hands_235,6044,0.72%,
Composite,Judgment_of_the_Arbiter_Wrists_190,6040,0.65%,
Composite,Judgment_of_the_Arbiter_Finger_210,6038,0.61%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Shoulder_235,6036,0.59%,
Composite,Echo_of_Eonar_Wrists_190,6030,0.49%,
Composite,Shadowflame_Prism_Hands_190,6029,0.47%,
Composite,Judgment_of_the_Arbiter_Hands_190,6029,0.46%,
Composite,Third_Eye_of_the_Jailer_Head_235,6028,0.45%,
Composite,Echo_of_Eonar_Finger_210,6028,0.45%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Head_225,6025,0.40%,
Composite,Third_Eye_of_the_Jailer_Waist_235,6024,0.38%,
Composite,Sephuzs_Proclamation_Shoulder_235,6018,0.29%,
Composite,Shadowflame_Prism_Conduit_Hands_225,6014,0.23%,
Composite,Shadowflame_Prism_Conduit_Head_225,6013,0.21%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Shoulder_225,6006,0.08%,
Composite,Third_Eye_of_the_Jailer_Shoulder_235,6005,0.07%,
Composite,Echo_of_Eonar_Waist_190,6003,0.03%,
Composite,Base,6001,0.00%,
Composite,Third_Eye_of_the_Jailer_Waist_225,5996,-0.07%,
Composite,Third_Eye_of_the_Jailer_Head_225,5996,-0.08%,
Composite,Shadowflame_Prism_Head_190,5993,-0.12%,
Composite,Sephuzs_Proclamation_Shoulder_225,5988,-0.21%,
Composite,Painbreaker_Psalm_Back_235,5984,-0.29%,
Composite,Judgment_of_the_Arbiter_Finger_190,5981,-0.32%,
Composite,Shadowflame_Prism_Conduit_Hands_210,5981,-0.33%,
Composite,Third_Eye_of_the_Jailer_Shoulder_225,5975,-0.42%,
Composite,Sephuzs_Proclamation_Chest_235,5974,-0.44%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Head_210,5974,-0.45%,
Composite,Echo_of_Eonar_Finger_190,5972,-0.48%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Shoulder_210,5970,-0.52%,
Composite,Painbreaker_Psalm_Back_225,5962,-0.64%,
Composite,Shadowflame_Prism_Conduit_Head_210,5962,-0.64%,
Composite,Third_Eye_of_the_Jailer_Waist_210,5956,-0.75%,
Composite,Sephuzs_Proclamation_Shoulder_210,5952,-0.81%,
Composite,Third_Eye_of_the_Jailer_Head_210,5943,-0.96%,
Composite,Shadowflame_Prism_Conduit_Hands_190,5942,-0.98%,
Composite,Sephuzs_Proclamation_Chest_225,5941,-1.00%,
Composite,Painbreaker_Psalm_Chest_235,5938,-1.04%,
Composite,Third_Eye_of_the_Jailer_Shoulder_210,5938,-1.04%,
Composite,Painbreaker_Psalm_Back_210,5932,-1.15%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Shoulder_190,5924,-1.29%,
Composite,Sephuzs_Proclamation_Neck_235,5923,-1.29%,
Composite,Sephuzs_Proclamation_Neck_190,5923,-1.29%,
Composite,Sephuzs_Proclamation_Neck_210,5923,-1.30%,
Composite,Sephuzs_Proclamation_Neck_225,5923,-1.30%,
Composite,Twins_of_the_Sun_Priestess_Conduit_7_Head_190,5916,-1.41%,
Composite,Third_Eye_of_the_Jailer_Waist_190,5910,-1.51%,
Composite,Painbreaker_Psalm_Chest_225,5908,-1.54%,
Composite,Sephuzs_Proclamation_Shoulder_190,5906,-1.58%,
Composite,Shadowflame_Prism_Conduit_Head_190,5905,-1.59%,
Composite,Painbreaker_Psalm_Back_190,5902,-1.65%,
Composite,Third_Eye_of_the_Jailer_Shoulder_190,5892,-1.81%,
