profile,actor,DPS,increase,
Dungeons,Eternal_Call_to_the_Void_Hands_235,6590,7.08%,
Dungeons,Eternal_Call_to_the_Void_Wrists_235,6577,6.87%,
Dungeons,Eternal_Call_to_the_Void_Hands_225,6563,6.65%,
Dungeons,Eternal_Call_to_the_Void_Wrists_225,6553,6.48%,
Dungeons,Eternal_Call_to_the_Void_Wrists_210,6519,5.93%,
Dungeons,Eternal_Call_to_the_Void_Hands_210,6511,5.80%,
Dungeons,Eternal_Call_to_the_Void_Wrists_190,6493,5.51%,
Dungeons,Eternal_Call_to_the_Void_Hands_190,6467,5.09%,
Dungeons,Shadowflame_Prism_Conduit_Head_235,6391,3.85%,
Dungeons,Shadowflame_Prism_Conduit_Hands_235,6386,3.77%,
Dungeons,Shadowflame_Prism_Head_235,6371,3.53%,
Dungeons,Shadowflame_Prism_Hands_235,6365,3.43%,
Dungeons,Shadowflame_Prism_Conduit_Hands_225,6364,3.41%,
Dungeons,Shadowflame_Prism_Conduit_Head_225,6358,3.31%,
Dungeons,Shadowflame_Prism_Hands_225,6345,3.10%,
Dungeons,Shadowflame_Prism_Head_225,6338,2.99%,
Dungeons,Shadowflame_Prism_Conduit_Hands_210,6329,2.84%,
Dungeons,Talbadars_Stratagem_Waist_235,6322,2.73%,
Dungeons,Talbadars_Stratagem_Legs_235,6312,2.57%,
Dungeons,Sephuzs_Proclamation_Shoulder_235,6311,2.55%,
Dungeons,Shadowflame_Prism_Conduit_Head_210,6311,2.55%,
Dungeons,Shadowflame_Prism_Hands_210,6304,2.44%,
Dungeons,Talbadars_Stratagem_Waist_225,6296,2.31%,
Dungeons,Echo_of_Eonar_Waist_235,6292,2.24%,
Dungeons,Sephuzs_Proclamation_Shoulder_225,6291,2.23%,
Dungeons,Shadowflame_Prism_Head_210,6283,2.10%,
Dungeons,Shadowflame_Prism_Conduit_Hands_190,6282,2.08%,
Dungeons,Talbadars_Stratagem_Legs_225,6277,2.00%,
Dungeons,Sephuzs_Proclamation_Chest_235,6275,1.97%,
Dungeons,Echo_of_Eonar_Waist_225,6260,1.72%,
Dungeons,Judgment_of_the_Arbiter_Hands_235,6260,1.72%,
Dungeons,Shadowflame_Prism_Hands_190,6255,1.64%,
Dungeons,Judgment_of_the_Arbiter_Wrists_235,6254,1.62%,
Dungeons,Echo_of_Eonar_Wrists_235,6251,1.58%,
Dungeons,Sephuzs_Proclamation_Chest_225,6249,1.54%,
Dungeons,Sephuzs_Proclamation_Shoulder_210,6249,1.54%,
Dungeons,Judgment_of_the_Arbiter_Hands_225,6248,1.53%,
Dungeons,Shadowflame_Prism_Conduit_Head_190,6248,1.53%,
Dungeons,Talbadars_Stratagem_Waist_210,6244,1.46%,
Dungeons,Painbreaker_Psalm_Back_235,6238,1.36%,
Dungeons,Echo_of_Eonar_Finger_235,6237,1.35%,
Dungeons,Echo_of_Eonar_Wrists_225,6237,1.35%,
Dungeons,Judgment_of_the_Arbiter_Finger_235,6232,1.27%,
Dungeons,Sephuzs_Proclamation_Neck_210,6227,1.19%,
Dungeons,Sephuzs_Proclamation_Neck_235,6227,1.19%,
