profile,actor,DPS,increase,
Single,Eternal_Call_to_the_Void_Hands_235,5872,5.87%,
Single,Eternal_Call_to_the_Void_Wrists_235,5866,5.77%,
Single,Talbadars_Stratagem_Legs_235,5854,5.55%,
Single,Talbadars_Stratagem_Waist_235,5846,5.40%,
Single,Eternal_Call_to_the_Void_Wrists_225,5845,5.39%,
Single,Eternal_Call_to_the_Void_Hands_225,5845,5.39%,
Single,Talbadars_Stratagem_Legs_225,5821,4.96%,
Single,Eternal_Call_to_the_Void_Wrists_210,5820,4.93%,
Single,Talbadars_Stratagem_Waist_225,5819,4.93%,
Single,Eternal_Call_to_the_Void_Hands_210,5811,4.78%,
Single,Eternal_Call_to_the_Void_Wrists_190,5785,4.32%,
Single,Talbadars_Stratagem_Waist_210,5777,4.16%,
Single,Talbadars_Stratagem_Legs_210,5776,4.16%,
Single,Eternal_Call_to_the_Void_Hands_190,5774,4.12%,
Single,Talbadars_Stratagem_Waist_190,5733,3.37%,
Single,Talbadars_Stratagem_Legs_190,5723,3.19%,
Single,Judgment_of_the_Arbiter_Hands_235,5716,3.07%,
Single,Judgment_of_the_Arbiter_Wrists_235,5708,2.93%,
Single,Echo_of_Eonar_Waist_235,5690,2.59%,
Single,Echo_of_Eonar_Wrists_235,5689,2.58%,
Single,Judgment_of_the_Arbiter_Hands_225,5688,2.56%,
Single,Judgment_of_the_Arbiter_Wrists_225,5688,2.56%,
Single,Judgment_of_the_Arbiter_Finger_235,5681,2.43%,
Single,Echo_of_Eonar_Wrists_225,5671,2.25%,
Single,Echo_of_Eonar_Finger_235,5664,2.14%,
Single,Echo_of_Eonar_Waist_225,5663,2.12%,
Single,Judgment_of_the_Arbiter_Wrists_210,5662,2.09%,
Single,Judgment_of_the_Arbiter_Hands_210,5657,2.00%,
Single,Judgment_of_the_Arbiter_Finger_225,5654,1.96%,
Single,Echo_of_Eonar_Wrists_210,5646,1.80%,
Single,Echo_of_Eonar_Finger_225,5639,1.68%,
Single,Shadowflame_Prism_Head_235,5637,1.64%,
Single,Shadowflame_Prism_Hands_235,5632,1.55%,
Single,Judgment_of_the_Arbiter_Wrists_190,5631,1.52%,
Single,Echo_of_Eonar_Waist_210,5627,1.47%,
Single,Judgment_of_the_Arbiter_Finger_210,5626,1.44%,
Single,Judgment_of_the_Arbiter_Hands_190,5622,1.37%,
Single,Third_Eye_of_the_Jailer_Head_235,5615,1.24%,
Single,Echo_of_Eonar_Wrists_190,5613,1.20%,
Single,Echo_of_Eonar_Finger_210,5610,1.16%,
Single,Shadowflame_Prism_Hands_225,5606,1.08%,
Single,Shadowflame_Prism_Head_225,5605,1.07%,
Single,Third_Eye_of_the_Jailer_Waist_235,5603,1.03%,
Single,Echo_of_Eonar_Waist_190,5586,0.72%,
Single,Third_Eye_of_the_Jailer_Head_225,5586,0.71%,
Single,Sephuzs_Proclamation_Shoulder_235,5584,0.68%,
Single,Third_Eye_of_the_Jailer_Shoulder_235,5583,0.67%,
Single,Third_Eye_of_the_Jailer_Waist_225,5576,0.54%,
Single,Shadowflame_Prism_Hands_210,5575,0.52%,
Single,Judgment_of_the_Arbiter_Finger_190,5571,0.46%,
Single,Twins_of_the_Sun_Priestess_Conduit_7_Head_235,5568,0.39%,
