profile,actor,DPS,increase,
Composite,Mechagnome,6016,1.92%,
Composite,Blood_Elf,5983,1.36%,
Composite,Void_Elf,5982,1.34%,
Composite,Gnome,5982,1.34%,
Composite,Goblin,5982,1.34%,
Composite,Draenei,5980,1.30%,
Composite,Troll,5975,1.23%,
Composite,Human,5974,1.21%,
Composite,Night_Elf_Haste,5974,1.21%,
Composite,Nightborne,5969,1.12%,
Composite,Panda_Feast,5968,1.10%,
Composite,Night_Elf_Crit,5963,1.02%,
Composite,Kul_Tiran,5960,0.97%,
Composite,Zandalari_Troll_Paku,5957,0.92%,
Composite,Dark_Iron_Dwarf,5955,0.90%,
Composite,Worgen,5953,0.85%,
Composite,Lightforged_Draenei,5951,0.82%,
Composite,Panda_Haste,5948,0.77%,
Composite,Zandalari_Troll_Bwonsamdi,5938,0.61%,
Composite,Undead,5938,0.59%,
Composite,Panda_Crit,5937,0.59%,
Composite,Panda_Mastery,5937,0.59%,
Composite,Maghar_Orc,5937,0.58%,
Composite,Zandalari_Troll_Kimbul,5936,0.56%,
Composite,Dwarf,5929,0.45%,
Composite,Panda_Vers,5927,0.41%,
Composite,Tauren,5926,0.40%,
Composite,Vulpera,5906,0.06%,
Composite,Base,5903,0.00%,
