profile,actor,DPS,increase,
Dungeons,Mechagnome,5875,1.93%,
Dungeons,Goblin,5844,1.39%,
Dungeons,Gnome,5841,1.34%,
Dungeons,Draenei,5839,1.30%,
Dungeons,Night_Elf_Haste,5838,1.28%,
Dungeons,Lightforged_Draenei,5828,1.11%,
Dungeons,Void_Elf,5828,1.11%,
Dungeons,Panda_Feast,5827,1.09%,
Dungeons,Nightborne,5826,1.08%,
Dungeons,Human,5821,0.99%,
Dungeons,Troll,5816,0.90%,
Dungeons,Blood_Elf,5815,0.88%,
Dungeons,Night_Elf_Crit,5813,0.85%,
Dungeons,Kul_Tiran,5809,0.78%,
Dungeons,Worgen,5806,0.73%,
Dungeons,Zandalari_Troll_Paku,5805,0.71%,
Dungeons,Zandalari_Troll_Bwonsamdi,5799,0.61%,
Dungeons,Dark_Iron_Dwarf,5797,0.57%,
Dungeons,Dwarf,5794,0.52%,
Dungeons,Panda_Crit,5791,0.47%,
Dungeons,Undead,5791,0.47%,
Dungeons,Panda_Haste,5790,0.45%,
Dungeons,Tauren,5790,0.45%,
Dungeons,Zandalari_Troll_Kimbul,5786,0.38%,
Dungeons,Panda_Vers,5784,0.35%,
Dungeons,Maghar_Orc,5783,0.33%,
Dungeons,Panda_Mastery,5772,0.14%,
Dungeons,Vulpera,5766,0.03%,
Dungeons,Base,5764,0.00%,
