profile,actor,DPS,increase,
Single,Mechagnome,5975,1.88%,
Single,Draenei,5940,1.28%,
Single,Void_Elf,5939,1.26%,
Single,Blood_Elf,5932,1.13%,
Single,Gnome,5930,1.10%,
Single,Panda_Feast,5928,1.08%,
Single,Goblin,5928,1.08%,
Single,Troll,5926,1.04%,
Single,Nightborne,5925,1.02%,
Single,Night_Elf_Crit,5924,1.00%,
Single,Kul_Tiran,5921,0.95%,
Single,Night_Elf_Haste,5921,0.95%,
Single,Dark_Iron_Dwarf,5917,0.89%,
Single,Zandalari_Troll_Paku,5916,0.87%,
Single,Human,5916,0.86%,
Single,Worgen,5912,0.80%,
Single,Panda_Mastery,5904,0.67%,
Single,Zandalari_Troll_Kimbul,5902,0.63%,
Single,Zandalari_Troll_Bwonsamdi,5901,0.61%,
Single,Maghar_Orc,5900,0.59%,
Single,Undead,5899,0.57%,
Single,Panda_Crit,5898,0.56%,
Single,Dwarf,5893,0.48%,
Single,Tauren,5892,0.46%,
Single,Panda_Haste,5892,0.46%,
Single,Panda_Vers,5888,0.40%,
Single,Lightforged_Draenei,5887,0.38%,
Single,Vulpera,5869,0.07%,
Single,Base,5865,0.00%,
