profile,actor,DPS,increase,
Single,Mechagnome,5080,1.97%,
Single,Gnome,5069,1.73%,
Single,Night_Elf_Haste,5068,1.72%,
Single,Goblin,5068,1.71%,
Single,Blood_Elf,5059,1.54%,
Single,Void_Elf,5049,1.34%,
Single,Draenei,5046,1.27%,
Single,Panda_Feast,5039,1.13%,
Single,Troll,5036,1.07%,
Single,Nightborne,5035,1.06%,
Single,Night_Elf_Crit,5034,1.04%,
Single,Human,5033,1.02%,
Single,Dark_Iron_Dwarf,5032,0.98%,
Single,Kul_Tiran,5028,0.92%,
Single,Zandalari_Troll_Paku,5025,0.85%,
Single,Panda_Haste,5024,0.82%,
Single,Worgen,5021,0.77%,
Single,Zandalari_Troll_Kimbul,5020,0.75%,
Single,Zandalari_Troll_Bwonsamdi,5019,0.74%,
Single,Undead,5017,0.69%,
Single,Lightforged_Draenei,5010,0.54%,
Single,Maghar_Orc,5008,0.50%,
Single,Dwarf,5005,0.46%,
Single,Panda_Crit,5003,0.42%,
Single,Tauren,5003,0.41%,
Single,Panda_Mastery,5002,0.40%,
Single,Panda_Vers,4999,0.34%,
Single,Vulpera,4986,0.06%,
Single,Base,4983,0.00%,
