profile,actor,DPS,increase,
Single,Unholy_Set-Cor_Bek_5,8647,16.68%,
Single,Blood_Set-Cor_Dyz_5,8574,15.69%,
Single,Portentous_Unholy_Set-Chaos_Bane,8530,15.09%,
Single,Portentous_Blood_Set-Blood_Link,8446,13.97%,
Single,Foreboding_Unholy_Set-Chaos_Bane,8350,12.67%,
Single,Foreboding_Blood_Set-Blood_Link,8279,11.71%,
Single,Desolate_Unholy_Set-Chaos_Bane,8168,10.21%,
Single,Desolate_Blood_Set-Blood_Link,8107,9.39%,
Single,Ominous_Unholy_Set-Chaos_Bane,7986,7.76%,
Single,Frost_Set-Dyz_Bek_5,7942,7.16%,
Single,Ominous_Blood_Set-Blood_Link,7941,7.16%,
Single,Portentous_Frost_Set-Winds_of_Winter,7836,5.73%,
Single,Unholy_Set-Chaos_Bane,7804,5.31%,
Single,Blood_Set-Blood_Link,7770,4.85%,
Single,Foreboding_Frost_Set-Winds_of_Winter,7765,4.78%,
Single,Desolate_Frost_Set-Winds_of_Winter,7697,3.86%,
Single,Ominous_Frost_Set-Winds_of_Winter,7630,2.95%,
Single,Frost_Set-Winds_of_Winter,7561,2.02%,
Single,Portentous_Shard_of_Dyz,7525,1.54%,
Single,Portentous_Shard_of_Bek,7516,1.41%,
Single,Foreboding_Shard_of_Dyz,7513,1.38%,
Single,Foreboding_Shard_of_Bek,7505,1.27%,
Single,Desolate_Shard_of_Dyz,7494,1.12%,
Single,Desolate_Shard_of_Bek,7489,1.05%,
Single,Ominous_Shard_of_Dyz,7483,0.97%,
Single,Ominous_Shard_of_Bek,7474,0.86%,
Single,Shard_of_Dyz,7469,0.79%,
Single,Shard_of_Bek,7467,0.76%,
Single,Portentous_Shard_of_Zed,7453,0.57%,
Single,Portentous_Shard_of_Cor,7449,0.52%,
Single,Foreboding_Shard_of_Zed,7448,0.50%,
Single,Foreboding_Shard_of_Cor,7445,0.45%,
Single,Desolate_Shard_of_Cor,7442,0.42%,
Single,Desolate_Shard_of_Zed,7439,0.38%,
Single,Ominous_Shard_of_Zed,7437,0.35%,
Single,Ominous_Shard_of_Cor,7435,0.32%,
Single,Shard_of_Cor,7433,0.30%,
Single,Shard_of_Zed,7430,0.26%,
Single,Base,7411,0.00%,
