profile,actor,DPS,increase,
Composite,Kyrian-Kleia-Pointed_Courage_Allies_3,8206,4.94%,
Composite,Kyrian-Pelagos-Combat_Meditation,8149,4.21%,
Composite,Kyrian-Forgelite-Effusive_Anima_Accelerator,8134,4.02%,
Composite,Kyrian-Kleia-Pointed_Courage_Allies_2,8077,3.28%,
Composite,Kyrian-Forgelite-Soulglow_Spectrometer,8032,2.72%,
Composite,Kyrian-Kleia-Light_the_Path,7962,1.81%,
Composite,Kyrian-Kleia-Pointed_Courage_Allies_1,7947,1.62%,
Composite,Kyrian-Pelagos-Newfound_Resolve,7937,1.50%,
Composite,Kyrian-Forgelite-Brons_Call_to_Action,7935,1.48%,
Composite,Kyrian-Pelagos-Better_Together,7912,1.18%,
Composite,Kyrian-Kleia-Spear_of_the_Archon,7865,0.58%,
Composite,Kyrian-Forgelite-Hammer_of_Genesis,7848,0.36%,
Composite,Base,7820,0.00%,
