profile,actor,DPS,increase,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_4,6739,3.20%,
Composite,Necrolord-Bonesmith-Forgeborne_Reveries,6717,2.87%,
Composite,Necrolord-Bonesmith-Heirmirs_Arsenal_Marrowed_Gemstone,6707,2.72%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_3,6706,2.70%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_2,6674,2.21%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_1,6643,1.73%,
Composite,Necrolord-Marileth-Volatile_Solvent_Mastery,6626,1.48%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_0,6610,1.23%,
Composite,Necrolord-Marileth-Volatile_Solvent_Crit,6604,1.14%,
Composite,Necrolord-Marileth-Volatile_Solvent_Magic,6604,1.14%,
Composite,Necrolord-Marileth-Volatile_Solvent_Intellect,6585,0.84%,
Composite,Necrolord-Marileth-Plagueys_Preemptive_Strike,6577,0.72%,
Composite,Necrolord-Emeni-Gnashing_Chompers,6543,0.20%,
Composite,Base,6530,0.00%,
Composite,Necrolord-Marileth-Kevins_Oozeling,6530,0.00%,
Composite,Necrolord-Bonesmith-Serrated_Spaulders,6529,-0.01%,
Composite,Necrolord-Bonesmith-Carvers_Eye,6529,-0.01%,
Composite,Necrolord-Bonesmith-Mnemonic_Equipment,6529,-0.01%,
