profile,actor,DPS,increase,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_4,6939,3.04%,
Composite,Necrolord-Bonesmith-Forgeborne_Reveries,6930,2.91%,
Composite,Necrolord-Bonesmith-Heirmirs_Arsenal_Marrowed_Gemstone,6925,2.84%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_3,6907,2.57%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_2,6875,2.10%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_1,6844,1.64%,
Composite,Necrolord-Marileth-Volatile_Solvent_Mastery,6837,1.54%,
Composite,Necrolord-Marileth-Volatile_Solvent_Crit,6821,1.30%,
Composite,Necrolord-Emeni-Lead_by_Example_Allies_0,6812,1.17%,
Composite,Necrolord-Marileth-Volatile_Solvent_Magic,6811,1.15%,
Composite,Necrolord-Marileth-Volatile_Solvent_Intellect,6793,0.88%,
Composite,Necrolord-Marileth-Plagueys_Preemptive_Strike,6775,0.61%,
Composite,Necrolord-Emeni-Gnashing_Chompers,6747,0.19%,
Composite,Necrolord-Bonesmith-Serrated_Spaulders,6734,0.01%,
Composite,Base,6734,0.00%,
Composite,Necrolord-Marileth-Kevins_Oozeling,6734,0.00%,
Composite,Necrolord-Bonesmith-Carvers_Eye,6734,0.00%,
Composite,Necrolord-Bonesmith-Mnemonic_Equipment,6733,-0.01%,
