profile,actor,DPS,increase,
Composite,Night_Fae-Niya-Bonded_Hearts_AND_Grove_Invigoration,8692,4.89%,
Composite,Night_Fae-Niya-Grove_Invigoration,8650,4.38%,
Composite,Night_Fae-Niya-Niyas_Tools_Burrs,8606,3.85%,
Composite,Night_Fae-Korayn-Wild_Hunt_Tactics,8552,3.20%,
Composite,Night_Fae-Korayn-Wild_Hunt_Strategem_AND_Wild_Hunt_Tactics,8551,3.19%,
Composite,Night_Fae-Dreamweaver-Dream_Delver,8497,2.54%,
Composite,Night_Fae-Dreamweaver-Field_of_Blossoms,8486,2.40%,
Composite,Night_Fae-Dreamweaver-Social_Butterfly,8403,1.40%,
Composite,Night_Fae-Korayn-First_Strike,8333,0.56%,
Composite,Night_Fae-Niya-Niyas_Tools_Poison,8290,0.04%,
Composite,Base,8287,0.00%,
