profile,actor,DPS,increase,
Dungeons,Necrolord-Bonesmith-Heirmirs_Arsenal_Marrowed_Gemstone,6297,3.13%,
Dungeons,Necrolord-Bonesmith-Forgeborne_Reveries,6279,2.83%,
Dungeons,Necrolord-Marileth-Plagueys_Preemptive_Strike,6270,2.69%,
Dungeons,Necrolord-Emeni-Lead_by_Example_Allies_4,6262,2.55%,
Dungeons,Necrolord-Emeni-Gnashing_Chompers,6256,2.46%,
Dungeons,Necrolord-Emeni-Lead_by_Example_Allies_3,6240,2.19%,
Dungeons,Necrolord-Emeni-Lead_by_Example_Allies_2,6220,1.87%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Magic,6194,1.44%,
Dungeons,Necrolord-Emeni-Lead_by_Example_Allies_1,6192,1.41%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Mastery,6170,1.05%,
Dungeons,Necrolord-Emeni-Lead_by_Example_Allies_0,6164,0.95%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Crit,6153,0.77%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Intellect,6112,0.10%,
Dungeons,Base,6106,0.00%,
Dungeons,Necrolord-Bonesmith-Serrated_Spaulders,6103,-0.05%,
