profile,actor,DPS,increase,
Dungeons,Venthyr-Nadjia-Fatal_Flaw_AND_Thrill_Seeker,8990,4.28%,
Dungeons,Venthyr-Draven-Built_for_War,8952,3.84%,
Dungeons,Venthyr-Theotar-Party_Favors_Haste,8923,3.50%,
Dungeons,Venthyr-Theotar-Party_Favors_Intellect,8866,2.84%,
Dungeons,Venthyr-Theotar-Party_Favors_Versatility,8858,2.75%,
Dungeons,Venthyr-Nadjia-Thrill_Seeker,8836,2.49%,
Dungeons,Venthyr-Theotar-Party_Favors_Crit,8826,2.38%,
Dungeons,Venthyr-Theotar-Soothing_Shade,8796,2.03%,
Dungeons,Venthyr-Draven-Battlefield_Presence,8782,1.87%,
Dungeons,Venthyr-Nadjia-Exacting_Preparation,8707,1.00%,
Dungeons,Venthyr-Theotar-Refined_Palate,8703,0.95%,
Dungeons,Venthyr-Theotar-Wasteland_Propriety,8685,0.74%,
Dungeons,Base,8621,0.00%,
Dungeons,Venthyr-Nadjia-Dauntless_Duelist,8604,-0.20%,
