profile,actor,DPS,increase,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Mastery,6242,13.31%,
Dungeons,Necrolord-Emeni-Lead_by_Example,6043,9.69%,
Dungeons,Necrolord-Marileth-Plagueys_Preemptive_Strike,5999,8.89%,
Dungeons,Necrolord-Bonesmith-Heirmirs_Arsenal_Marrowed_Gemstone,5966,8.30%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Intellect,5942,7.86%,
Dungeons,Necrolord-Marileth-Volatile_Solvent_Crit,5931,7.66%,
Dungeons,Necrolord-Emeni-Gnashing_Chompers,5871,6.57%,
Dungeons,Necrolord-Bonesmith-Serrated_Spaulders,5835,5.92%,
Dungeons,Necrolord_Covenant_Only,5832,5.86%,
Dungeons,Night_Fae-Korayn-First_Strike,5818,5.61%,
Dungeons,Kyrian-Pelagos-Let_Go_of_the_Past,5816,5.57%,
Dungeons,Venthyr-Draven-Built_for_War,5811,5.48%,
Dungeons,Kyrian-Kleia-Pointed_Courage,5804,5.35%,
Dungeons,Venthyr-Nadjia-Thrill_Seeker,5801,5.30%,
Dungeons,Kyrian-Forgelite-Hammer_of_Genesis,5794,5.17%,
Dungeons,Venthyr-Theotar-Soothing_Shade,5743,4.25%,
Dungeons,Kyrian-Pelagos-Combat_Meditation,5719,3.81%,
Dungeons,Venthyr-Theotar-Wasteland_Propriety,5718,3.79%,
Dungeons,Venthyr-Nadjia-Exacting_Preparation,5680,3.10%,
Dungeons,Venthyr_Covenant_Only,5662,2.78%,
Dungeons,Venthyr-Theotar-Refined_Palate,5659,2.72%,
Dungeons,Venthyr-Nadjia-Dauntless_Duelist,5654,2.63%,
Dungeons,Night_Fae-Niya-Niyas_Tools_Burrs,5583,1.34%,
Dungeons,Kyrian-Forgelite-Brons_Call_to_Action,5569,1.09%,
Dungeons,Kyrian_Covenant_Only,5560,0.93%,
Dungeons,Night_Fae-Korayn-Wild_Hunt_Tactics,5537,0.51%,
Dungeons,Night_Fae-Dreamweaver-Field_of_Blossoms,5518,0.16%,
Dungeons,Base,5509,0.00%,
Dungeons,Night_Fae-Dreamweaver-Social_Butterfly,5483,-0.47%,
Dungeons,Night_Fae-Niya-Grove_Invigoration,5426,-1.51%,
Dungeons,Night_Fae-Niya-Niyas_Tools_Poison,5398,-2.01%,
Dungeons,Night_Fae_Covenant_Only,5387,-2.21%,
