profile,actor,DPS,increase,
Composite,Emeni-LbE-DE,4951,6.24%,
Composite,Marileth-VS_Mastery-DE,4932,5.83%,
Composite,Marileth-VS_Magic-DE,4925,5.69%,
Composite,Marileth-VS_Crit-DE,4925,5.68%,
Composite,Marileth-DE,4859,4.26%,
Composite,Marileth-VS_Intellect-DE,4858,4.26%,
Composite,Marileth-PPS_VS_Mastery,4750,1.93%,
Composite,Marileth-PPS_VS_Crit,4744,1.80%,
Composite,Marileth-PPS_VS_Magic,4744,1.79%,
Composite,Marileth-PPS,4681,0.44%,
Composite,Marileth-PPS_VS_Intellect,4681,0.44%,
Composite,Base,4660,0.00%,
