profile,actor,DPS,increase,
Single,Pelagos-CM_BT-TS-HA_DE_CA,7477,20.18%,
Single,Forgelite-BCtA_SS-TS-HA_DE_CA,7324,17.72%,
Single,Pelagos-CM_BT-HA_DE_RS,7318,17.62%,
Single,Pelagos-CM_BT-HA_DE_CA,7316,17.59%,
Single,Pelagos-CM_BT-TS-HA_DE_RS,7300,17.34%,
Single,Forgelite-BCtA_SS-HA_DE_RS,7184,15.47%,
Single,Kleia-PC_SotA-TS-HA_DE,7175,15.32%,
Single,Forgelite-BCtA_SS-HA_DE_CA,7169,15.24%,
Single,Forgelite-BCtA_SS-TS-HA_DE_RS,7164,15.15%,
Single,Forgelite-BCtA_HoG_SS-TS-HA_DE,7107,14.24%,
Single,Kleia-SotA-TS-HA_DE_CA,7086,13.90%,
Single,Kleia-PC_SotA-HA_DE,7032,13.02%,
Single,Forgelite-BCtA_HoG_SS-HA_DE,6955,11.79%,
Single,Kleia-SotA-HA_DE_RS,6950,11.71%,
Single,Kleia-SotA-HA_DE_CA,6941,11.57%,
Single,Kleia-SotA-TS-HA_DE_RS,6551,5.29%,
Single,Base,6221,0.00%,
