profile,actor,DPS,increase,
Dungeons,Marileth-PPS_VS_Magic-HA,5796,5.29%,
Dungeons,Marileth-PPS_VS_Mastery-HA,5777,4.94%,
Dungeons,Marileth-PPS_VS_Crit-HA,5758,4.60%,
Dungeons,Bonesmith-FR-HA,5747,4.40%,
Dungeons,Marileth-VS_Magic-HA_DE,5737,4.21%,
Dungeons,Marileth-PPS_VS_Intellect-HA,5716,3.83%,
Dungeons,Marileth-VS_Mastery-HA_DE,5716,3.83%,
Dungeons,Marileth-PPS-HA,5713,3.78%,
Dungeons,Marileth-VS_Crit-HA_DE,5697,3.49%,
Dungeons,Emeni-LbE-HA,5684,3.25%,
Dungeons,Bonesmith-FR_SS,5663,2.87%,
Dungeons,Marileth-VS_Intellect-HA_DE,5645,2.54%,
Dungeons,Marileth-HA_DE,5643,2.51%,
Dungeons,Base,5505,0.00%,
