profile,actor,DPS,increase,
Composite,Nadjia-TS_FaFl-HA_DE_RS,9258,15.75%,
Composite,Theotar-SS_PF_Versatility-HA_DE_RS,9161,14.53%,
Composite,Theotar-SS_PF_Intellect-HA_DE_RS,9159,14.51%,
Composite,Theotar-SS_PF_Crit-HA_DE_RS,9157,14.49%,
Composite,Theotar-SS_PF_Haste-HA_DE_RS,9156,14.47%,
Composite,Theotar-SS-HA_DE_RS,9154,14.45%,
Composite,Nadjia-TS_DD_FaFl-HA_DE,9114,13.95%,
Composite,Draven-BP-HA_DE_RS,9025,12.83%,
Composite,Nadjia-TS_EP_FaFl-HA_DE,8969,12.13%,
Composite,Draven-BfW_BP-HA_DE,8966,12.10%,
Composite,Theotar-SS_WP_PF_Versatility-HA_DE,8866,10.85%,
Composite,Theotar-SS_WP-HA_DE,8865,10.84%,
Composite,Theotar-SS_WP_PF_Crit-HA_DE,8865,10.83%,
Composite,Theotar-SS_WP_PF_Intellect-HA_DE,8865,10.83%,
Composite,Theotar-SS_WP_PF_Haste-HA_DE,8864,10.83%,
Composite,Theotar-SS_RP_PF_Intellect-HA_DE,8845,10.59%,
Composite,Theotar-SS_RP_PF_Versatility-HA_DE,8844,10.57%,
Composite,Theotar-SS_RP-HA_DE,8843,10.56%,
Composite,Theotar-SS_RP_PF_Crit-HA_DE,8843,10.56%,
Composite,Theotar-SS_RP_PF_Haste-HA_DE,8840,10.53%,
Composite,Base,7998,0.00%,
